Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
 Chris Chiozza, Egor Koulechev, Jalen Hudson, KeVaughn Allen,Keith Stone, Collin Sexton, Daniel Giddens, Dazon Ingram, John Petty,Donta Hall,1200,1121,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
 Chris Chiozza, Egor Koulechev, Jalen Hudson, KeVaughn Allen,Keith Stone,Collin Sexton,Dazon Ingram,Herb Jones,John Petty,Donta Hall,1121,931,0,0,2,11,0,5,1,2,0,0,2,3,1,1,1,0,1,0,0,1,2,0,0,1,1,0,0,3,0,2,1,0
 Chris Chiozza, Egor Koulechev, Jalen Hudson, KeVaughn Allen,Keith Stone,Braxton Key,Collin Sexton,Dazon Ingram,Herb Jones,Donta Hall,931,886,0,0,11,14,5,7,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Braxton Key,Collin Sexton,Dazon Ingram,Herb Jones,Donta Hall,886,802,1,0,14,16,7,10,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Braxton Key,Collin Sexton,Dazon Ingram,Herb Jones,Daniel Giddens,802,802,1,0,16,16,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes,Braxton Key,Collin Sexton,Dazon Ingram,Herb Jones,Daniel Giddens,802,802,1,0,16,17,10,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes,Avery Johnson Jr.,Braxton Key,Daniel Giddens,Herb Jones,Collin Sexton,802,736,1,1,17,17,10,11,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,1,1
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes,Avery Johnson Jr.,Braxton Key,Daniel Giddens,Herb Jones,John Petty,736,736,1,1,17,17,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Jalen Hudson,Keith Stone,Kevarrius Hayes,Avery Johnson Jr.,Braxton Key,Daniel Giddens,Herb Jones,John Petty,736,721,1,1,17,17,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Chris Chiozza,Deaundrae Ballard,Jalen Hudson,Keith Stone,Kevarrius Hayes,Avery Johnson Jr.,Braxton Key,Dazon Ingram,John Petty,Daniel Giddens,721,708,1,0,17,17,11,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
