Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
Mike Okauru,Chris Chiozza,Jalen Hudson,Dontay Bassett,Egor Koulechev,Bryce Brown,Desean Murray,Horace Spencer,Jared Harper,Mustapha Heron,1200,1015,0,0,0,10,0,2,2,3,0,0,2,3,0,0,0,1,2,0,0,1,2,0,0,0,1,0,0,2,0,1,0,0
Mike Okauru,Chris Chiozza,Jalen Hudson,Dontay Bassett,Egor Koulechev,DeSean Murray,Chuma Okeke,Bryce Brown,Jared Harper,Mustapha Heron,1015,947,1,1,10,10,2,4,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,2,2,0
Mike Okauru,Chris Chiozza,Jalen Hudson,Dontay Bassett,Egor Koulechev,Chuma Okeke,Malik Dunbar,Bryce Brown,Horace Spencer,Davion Mitchell,947,902,1,2,10,10,4,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Egor Koulechov,Chris Chiozza,Jalen Hudson,KeVaughn Allen,Dontay Bassett,Chuma Okeke,Malik Dunbar,Bryce Brown,Horace Spencer,Davion Mitchell,902,788,1,2,10,15,4,6,1,4,0,0,1,2,0,0,0,2,1,0,0,1,1,0,0,0,2,0,0,2,1,2,1,0
Egor Koulechov,Chris Chiozza,Jalen Hudson,KeVaughn Allen,Dontay Bassett,DeSean Murray,Chuma Okeke,Jared Harper,Mustapha Heron,Davion Mitchell,788,788,1,1,15,15,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevarrius Hayes,Chris Chiozza,Jalen Hudson,Keith Stone,KeVaughn Allen,DeSean Murray,Chuma Okeke,Jared Harper,Mustapha Heron,Davion Mitchell,788,647,1,1,15,15,6,11,0,1,0,0,0,2,0,0,1,0,1,1,1,1,2,0,1,1,1,0,0,1,1,3,1,0
Mike Okauru,Kevarrius Hayes,Deaundrae Ballard,Keith Stone,KeVaughn Allen,DeSean Murray,Chuma Okeke,Jared Harper,Mustapha Heron,Davion Mitchell,647,647,1,1,15,15,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Okauru,Kevarrius Hayes,Deaundrae Ballard,Keith Stone,KeVaughn Allen,DeSean Murray,Bryce Brown,Horace Spencer,Jared Harper,Mustapha Heron,647,501,1,1,15,15,11,13,0,1,0,1,0,2,0,0,2,2,1,0,0,1,1,0,0,0,1,0,0,1,0,2,0,1
Egor Koulechov,Chris Chiozza,Jalen Hudson,KeVaughn Allen,Dontay Bassett,DeSean Murray,Bryce Brown,Horace Spencer,Jared Harper,Mustapha Heron,501,404,1,1,15,20,13,15,1,1,0,0,1,1,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,2,2,0,0,0
Egor Koulechov,Chris Chiozza,Jalen Hudson,KeVaughn Allen,Dontay Bassett,DeSean Murray,Chuma Okeke,Malik Dunbar,Jared Harper,Davion Mitchell,404,281,1,1,20,22,15,18,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0
