Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
Jalen Hudson,Egor Koulechev,Chris Chiozza,Keith Stone,KeVaughn Allen,Gabe Devoe,Donte Grantham,Marcquise Reed,Shelton Mitchell,Elijah Thomas,1200,1112,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,1,1,0,1,0,0,0,2,0,0,1,1,2,0,0
Jalen Hudson,Kevarrius Hayes,Chris Chiozza,Egor Koulechov,KeVaughn Allen,Gabe Devoe,Donte Grantham,Marcquise Reed,Shelton Mitchell,Elijah Thomas,1112,981,1,1,0,3,0,2,0,1,0,0,1,2,0,0,1,1,2,1,0,1,2,0,0,0,1,0,0,0,0,1,0,0
Jalen Hudson,Chris Chiozza,Gorjok Gak,Egor Koulechov,KeVaughn Allen,Gabe Devoe,Donte Grantham,Marcquise Reed,Shelton Mitchell,Elijah Thomas,981,928,1,1,3,5,2,4,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0
Jalen Hudson,Chris Chiozza,Gorjok Gak,Egor Koulechov,KeVaughn Allen,Mark Donnal,Donte Grantham,Marcquise Reed,David Skara,Shelton Mitchell,928,928,1,1,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaundrae Ballard,Jalen Hudson,Chris Chiozza,Gorjok Gak,Keith Stone,Mark Donnal,Donte Grantham,Marcquise Reed,David Skara,Shelton Mitchell,928,858,1,1,5,10,4,4,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Jalen Hudson,Deaundrae Ballard,Chris Chiozza,Gorjok Gak,Egor Koulechov,Mark Donnal,Donte Grantham,Marcquise Reed,David Skara,Shelton Mitchell,858,858,1,1,10,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,Deaundrae Ballard,Chris Chiozza,Gorjok Gak,Egor Koulechov,Mark Donnal,Aamir Simms,Marcquise Reed,David Skara,Shelton Mitchell,858,826,1,1,10,10,4,4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jalen Hudson,Deaundrae Ballard,Chris Chiozza,Gorjok Gak,Egor Koulechov,Mark Donnal,Aamir Simms,Marcquise Reed,Gabe DeVoe,David Skara,826,798,1,1,10,10,4,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Jalen Hudson,Kevarrius Hayes,Chris Chiozza,Egor Koulechov,KeVaughn Allen,Mark Donnal,Aamir Simms,Marcquise Reed,Gabe DeVoe,David Skara,798,724,1,1,10,10,7,9,0,1,0,0,0,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,2,2,0
Jalen Hudson,Kevarrius Hayes,Chris Chiozza,Egor Koulechov,KeVaughn Allen,Donte Grantham,Gabe DeVoe,David Skara,Shelton Mitchell,Elijah Thomas,724,724,1,1,10,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaundrae Ballard,Jalen Hudson,Kevarrius Hayes,Egor Koulechov,KeVaughn Allen,Donte Grantham,Gabe DeVoe,David Skara,Shelton Mitchell,Elijah Thomas,724,681,1,1,10,11,9,9,0,1,0,0,0,1,1,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Deaundrae Ballard,Jalen Hudson,Kevarrius Hayes,Egor Koulechov,KeVaughn Allen,Donte Grantham,Marcquise Reed,Gabe DeVoe,David Skara,Elijah Thomas,681,562,1,1,11,17,9,13,1,2,0,0,1,1,1,3,0,1,0,0,0,2,4,0,0,0,0,0,0,1,2,1,1,0
Deaundrae Ballard,Jalen Hudson,Kevarrius Hayes,Egor Koulechov,KeVaughn Allen,Donte Grantham,Marcquise Reed,Gabe DeVoe,Shelton Mitchell,Elijah Thomas,562,562,1,1,17,17,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaundrae Ballard,Chris Chiozza,Gorjok Gak,Egor Koulechov,KeVaughn Allen,Donte Grantham,Marcquise Reed,Gabe DeVoe,Shelton Mitchell,Elijah Thomas,562,534,1,1,17,17,13,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Mike Okauru,Chris Chiozza,Gorjok Gak,Egor Koulechov,KeVaughn Allen,Donte Grantham,Marcquise Reed,Gabe DeVoe,Shelton Mitchell,Elijah Thomas,534,455,1,1,17,20,13,16,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0
