Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
Egor Koulechev,Chris Chiozza,Kevarrius Hayes,Keith Stone,Jalen Hudson,William Jackson II,Nicolas Claxton,Juwan Parker,Rayshaun Hammonds,Yante Maten,1200,1005,0,0,0,5,0,5,1,2,0,0,1,2,0,0,1,0,3,0,0,1,2,0,0,1,4,0,0,1,1,2,0,0
Egor Koulechev,Chris Chiozza,Kevarrius Hayes,Keith Stone,Jalen Hudson,William Jackson II,E'Torrion Wilridge,Nicolas Claxton,Juwan Parker,Yante Maten,1005,825,1,2,5,13,5,10,1,2,0,0,2,3,0,0,0,1,1,0,1,1,2,0,1,1,2,0,0,1,2,1,2,0
Egor Koulechov,Chris Chiozza,Kevarrius Hayes,KeVaughn Allen,Jalen Hudson,William Jackson II,E'Torrion Wilridge,Nicolas Claxton,Juwan Parker,Yante Maten,825,825,1,2,13,13,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Chris Chiozza,Kevarrius Hayes,KeVaughn Allen,Jalen Hudson,William Jackson II,Nicolas Claxton,Juwan Parker,Rayshaun Hammonds,Yante Maten,825,776,1,2,13,15,10,12,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Egor Koulechov,Chris Chiozza,Dontay Bassett,KeVaughn Allen,Jalen Hudson,William Jackson II,Nicolas Claxton,Juwan Parker,Rayshaun Hammonds,Yante Maten,776,605,1,2,15,20,12,14,1,4,0,0,1,1,0,0,0,1,2,0,0,1,4,0,0,0,2,0,0,1,3,2,0,0
Chris Chiozza,Dontay Bassett,Deaundrae Ballard,Keith Stone,Jalen Hudson,William Jackson II,Nicolas Claxton,Juwan Parker,Rayshaun Hammonds,Yante Maten,605,605,1,2,20,20,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Dontay Bassett,Deaundrae Ballard,Keith Stone,Jalen Hudson,William Jackson II,Jordan Harris,Derek Ogbeide,Rayshaun Hammonds,Mike Edwards,605,539,1,2,20,20,14,16,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,0,0,0,1,0,0,0,1,1,0,0
Chris Chiozza,Gorjok Gak,Deaundrae Ballard,Keith Stone,Jalen Hudson,William Jackson II,Jordan Harris,Derek Ogbeide,Rayshaun Hammonds,Mike Edwards,539,539,1,2,20,20,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Gorjok Gak,Deaundrae Ballard,Keith Stone,Jalen Hudson,Jordan Harris,Derek Ogbeide,Rayshaun Hammonds,Yante Maten,Tyree Crump,539,428,1,2,20,22,16,18,1,3,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,1,0,1,1,3,1,0,0
Egor Koulechov,Gorjok Gak,KeVaughn Allen,Deaundrae Ballard,Keith Stone,Jordan Harris,Derek Ogbeide,Rayshaun Hammonds,Yante Maten,Tyree Crump,428,406,1,2,22,23,18,18,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
