Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
Chris Chiozza,Egor Koulechev,Kevarrius Hayes,KeVaughn Allen,Keith Stone,Stuckey Mosley,Joey McLean,DeVelle Phillips,Darius Banks,Ramone Snowden,1200,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Egor Koulechov,Chris Chiozza,Kevarrius Hayes,Jalen Hudson,KeVaughn Allen,Stuckey Mosley,Joey McLean,DeVelle Phillips,Darius Banks,Ramone Snowden,1173,1022,1,0,0,2,0,0,0,2,0,0,0,1,2,2,0,0,3,0,1,0,1,0,1,0,1,0,0,2,0,3,3,0
Egor Koulechov,Chris Chiozza,Kevarrius Hayes,Jalen Hudson,KeVaughn Allen,Stuckey Mosley,Joey McLean,Zach Jacobs,Darius Banks,Ramone Snowden,1022,967,1,0,2,6,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Egor Koulechov,Chris Chiozza,Kevarrius Hayes,KeVaughn Allen,Deaundrae Ballard,Stuckey Mosley,Joey McLean,Zach Jacobs,Darius Banks,Ramone Snowden,967,956,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Chris Chiozza,Mike Okauru,Gorjok Gak,Deaundrae Ballard,Stuckey Mosley,Joey McLean,Zach Jacobs,Darius Banks,Ramone Snowden,956,956,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Chris Chiozza,Mike Okauru,Gorjok Gak,Deaundrae Ballard,Stuckey Mosley,Zach Jacobs,Darius Banks,Matt Lewis,Ramone Snowden,956,789,1,0,6,8,0,5,1,1,0,0,0,3,0,0,2,2,2,0,0,1,2,0,0,1,2,0,0,0,0,1,0,0
Mike Okauru,Kevarrius Hayes,Jalen Hudson,KeVaughn Allen,Keith Stone,Stuckey Mosley,Zach Jacobs,Darius Banks,Matt Lewis,Ramone Snowden,789,789,1,0,8,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Okauru,Kevarrius Hayes,Jalen Hudson,KeVaughn Allen,Keith Stone,Stuckey Mosley,Joey McLean,Zach Jacobs,Greg Jones,Matt Lewis,789,722,1,0,8,8,5,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,2,1,1,0
Egor Koulechov,Chris Chiozza,Kevarrius Hayes,Jalen Hudson,KeVaughn Allen,Stuckey Mosley,Joey McLean,Zach Jacobs,Greg Jones,Matt Lewis,722,515,1,0,8,19,8,15,1,1,0,0,3,3,0,0,1,0,2,0,1,2,3,0,0,1,2,0,0,0,0,0,1,0
Egor Koulechov,Chris Chiozza,Kevarrius Hayes,Jalen Hudson,KeVaughn Allen,Joey McLean,Dwight Wilson,Greg Jones,Matt Lewis,Ramone Snowden,515,515,1,1,19,19,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
