Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
Egor Koulechev,Kevarrius Hayes,Chris Chiozza,Keith Stone,KeVaughn Allen,Kevin Knox,Nick Richards,Shai Gilgeous-Alexander,Wenyen Gabriel,Hamidou Dialio,1200,1063,0,0,0,4,0,5,2,3,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,1,2,0,0
Jalen Hudson,Kevarrius Hayes,Chris Chiozza,Keith Stone,KeVaughn Allen,Kevin Knox,Nick Richards,Shai Gilgeous-Alexander,Wenyen Gabriel,Hamidou Dialio,1063,1003,1,1,4,6,5,5,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,1,1,0,0,0
Jalen Hudson,Kevarrius Hayes,Chris Chiozza,Keith Stone,KeVaughn Allen,Kevin Knox,Hamidou Diallo,Shai Gilgeous-Alexander,Jarred Vanderbilt,PJ Washington,1003,1003,1,1,6,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,Chris Chiozza,Gorjok Gak,KeVaughn Allen,Keith Stone,Kevin Knox,Hamidou Diallo,Shai Gilgeous-Alexander,Jarred Vanderbilt,PJ Washington,1003,971,1,1,6,6,5,5,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,Chris Chiozza,Gorjok Gak,KeVaughn Allen,Keith Stone,Kevin Knox,Shai Gilgeous-Alexander,Jarred Vanderbilt,Quade Green,PJ Washington,971,846,1,1,6,12,5,11,0,0,0,0,1,1,3,3,1,0,1,1,0,3,5,0,0,0,0,0,0,0,1,0,1,0
Jalen Hudson,Egor Koulechov,Kevarrius Hayes,Chris Chiozza,Keith Stone,Kevin Knox,Shai Gilgeous-Alexander,Jarred Vanderbilt,Quade Green,PJ Washington,846,830,1,1,12,12,11,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1
Jalen Hudson,Egor Koulechov,Kevarrius Hayes,Chris Chiozza,Keith Stone,Hamidou Diallo,Shai Gilgeous-Alexander,Jarred Vanderbilt,Quade Green,PJ Washington,830,762,1,1,12,15,11,14,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Jalen Hudson,Egor Koulechov,Kevarrius Hayes,Chris Chiozza,Keith Stone,Nick Richards,Hamidou Diallo,Shai Gilgeous-Alexander,Quade Green,PJ Washington,762,762,1,1,15,15,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Mike Okauru,Kevarrius Hayes,Chris Chiozza,Keith Stone,Nick Richards,Hamidou Diallo,Shai Gilgeous-Alexander,Quade Green,PJ Washington,762,722,1,1,15,17,14,14,1,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0
Egor Koulechov,Mike Okauru,Kevarrius Hayes,Chris Chiozza,Keith Stone,Kevin Knox,Nick Richards,Hamidou Diallo,Quade Green,PJ Washington,722,701,1,1,17,17,14,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Mike Okauru,Kevarrius Hayes,Chris Chiozza,Keith Stone,Kevin Knox,Nick Richards,Hamidou Diallo,Shai Gilgeous-Alexander,PJ Washington,701,701,1,1,17,17,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Mike Okauru,Kevarrius Hayes,KeVaughn Allen,Keith Stone,Kevin Knox,Nick Richards,Hamidou Diallo,Shai Gilgeous-Alexander,PJ Washington,701,622,1,1,17,19,14,14,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Egor Koulechov,Mike Okauru,Kevarrius Hayes,KeVaughn Allen,Keith Stone,Kevin Knox,Hamidou Diallo,Shai Gilgeous-Alexander,Jarred Vanderbilt,PJ Washington,622,609,1,1,19,19,14,14,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Egor Koulechov,Mike Okauru,Kevarrius Hayes,KeVaughn Allen,Keith Stone,Kevin Knox,Hamidou Diallo,Shai Gilgeous-Alexander,Jarred Vanderbilt,Wenyen Gabriel,609,609,1,1,19,19,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,Egor Koulechov,Mike Okauru,Gorjok Gak,KeVaughn Allen,Kevin Knox,Hamidou Diallo,Shai Gilgeous-Alexander,Jarred Vanderbilt,Wenyen Gabriel,609,592,1,1,19,20,14,16,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,Mike Okauru,Gorjok Gak,Keith Stone,KeVaughn Allen,Kevin Knox,Hamidou Diallo,Shai Gilgeous-Alexander,Jarred Vanderbilt,Wenyen Gabriel,592,527,1,1,20,22,16,17,1,2,0,0,0,0,0,0,1,0,2,1,0,0,2,0,0,0,1,1,1,0,1,1,0,0
Jalen Hudson,Mike Okauru,Gorjok Gak,Keith Stone,KeVaughn Allen,Kevin Knox,Shai Gilgeous-Alexander,Jarred Vanderbilt,Quade Green,PJ Washington,527,527,1,1,22,22,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,Chris Chiozza,Gorjok Gak,KeVaughn Allen,Keith Stone,Kevin Knox,Shai Gilgeous-Alexander,Jarred Vanderbilt,Quade Green,PJ Washington,527,448,1,1,22,22,17,17,0,0,0,1,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1
Jalen Hudson,Chris Chiozza,Gorjok Gak,KeVaughn Allen,Keith Stone,Kevin Knox,Shai Gilgeous-Alexander,Jarred Vanderbilt,Quade Green,Wenyen Gabriel,448,412,1,1,22,24,17,17,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Jalen Hudson,Chris Chiozza,Gorjok Gak,KeVaughn Allen,Keith Stone,Kevin Knox,Nick Richards,Shai Gilgeous-Alexander,Wenyen Gabriel,Quade Green,412,365,1,1,24,28,17,17,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jalen Hudson,Chris Chiozza,Gorjok Gak,KeVaughn Allen,Keith Stone,Kevin Knox,Shai Gilgeous-Alexander,Sacha Killeya-Jones,Wenyen Gabriel,Quade Green,365,365,1,1,28,28,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,Kevarrius Hayes,Chris Chiozza,Keith Stone,KeVaughn Allen,Kevin Knox,Shai Gilgeous-Alexander,Sacha Killeya-Jones,Wenyen Gabriel,Quade Green,365,258,1,1,28,32,17,22,2,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0
Jalen Hudson,Kevarrius Hayes,Chris Chiozza,Keith Stone,KeVaughn Allen,Hamidou Diallo,Shai Gilgeous-Alexander,Sacha Killeya-Jones,Quade Green,Wenyen Gabriel,258,209,1,1,32,35,22,22,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jalen Hudson,Chris Chiozza,Kevarrius Hayes,Gorjok Gak,KeVaughn Allen,Hamidou Diallo,Shai Gilgeous-Alexander,Sacha Killeya-Jones,Quade Green,Wenyen Gabriel,209,94,2,1,35,45,22,28,2,2,0,0,2,2,0,0,0,0,1,0,0,2,3,0,0,0,0,2,3,0,0,0,0,0
Jalen Hudson,Chris Chiozza,Kevarrius Hayes,Gorjok Gak,KeVaughn Allen,Kevin Knox,Nick Richards,Hamidou Diallo,Shai Gilgeous-Alexander,Quade Green,94,1200,2,1,45,48,28,33,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0
Jalen Hudson,Chris Chiozza,Kevarrius Hayes,Gorjok Gak,KeVaughn Allen,Kevin Knox,Shai Gilgeous-Alexander,Jarred Vanderbilt,Quade Green,PJ Washington,1200,1200,2,1,48,48,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,Egor Koulechov,Kevarrius Hayes,Chris Chiozza,KeVaughn Allen,Kevin Knox,Shai Gilgeous-Alexander,Jarred Vanderbilt,Quade Green,PJ Washington,1200,1039,1,1,48,56,33,39,3,3,0,0,0,0,2,2,0,0,1,3,1,1,2,0,1,1,1,1,2,0,1,0,2,0
Jalen Hudson,Egor Koulechov,Kevarrius Hayes,Chris Chiozza,KeVaughn Allen,Nick Richards,Hamidou Diallo,Shai Gilgeous-Alexander,Quade Green,Wenyen Gabriel,1039,999,1,1,56,59,39,39,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Mike Okauru,Kevarrius Hayes,Chris Chiozza,KeVaughn Allen,Nick Richards,Hamidou Diallo,Shai Gilgeous-Alexander,Quade Green,Wenyen Gabriel,999,923,1,1,59,62,39,42,0,0,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0
Egor Koulechov,Mike Okauru,Kevarrius Hayes,Chris Chiozza,KeVaughn Allen,Kevin Knox,Hamidou Diallo,Shai Gilgeous-Alexander,Jarred Vanderbilt,PJ Washington,923,923,1,1,62,62,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Mike Okauru,Kevarrius Hayes,Chris Chiozza,Keith Stone,Kevin Knox,Hamidou Diallo,Shai Gilgeous-Alexander,Jarred Vanderbilt,PJ Washington,923,865,1,1,62,64,42,44,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
