Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
Keith Stone,Chris Chiozza,Kevarrius Hayes,Deaundrae Ballard,Egor Koulechov,Clayton Custer,Marques Townes,Cameron Krutwig,Aundre Jackson,Donte Ingram,1200,1042,0,0,0,4,0,5,2,3,0,0,0,1,0,0,2,2,0,0,0,1,1,0,0,1,1,0,0,2,0,0,0,0
Gorjok Gak,Keith Stone,Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Clayton Custer,Marques Townes,Cameron Krutwig,Aundre Jackson,Donte Ingram,1042,1008,1,1,4,4,5,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Gorjok Gak,Keith Stone,Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Cameron Krutwig,Marques Townes,Aundre Jackson,Lucas Williamson,Donte Ingram,1008,950,1,1,4,4,5,8,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Gorjok Gak,Jalen Hudson,Chris Chiozza,KeVaughn Allen,Egor Koulechov,Cameron Krutwig,Marques Townes,Aundre Jackson,Lucas Williamson,Donte Ingram,950,801,1,1,4,8,8,15,2,3,0,1,0,1,0,0,0,1,0,0,0,2,2,0,0,1,1,0,0,1,0,2,0,1
Gorjok Gak,Jalen Hudson,Chris Chiozza,KeVaughn Allen,Egor Koulechov,Clayton Custer,Adarius Avery,Aundre Jackson,Lucas Williamson,Bruno Skokna,801,801,1,0,8,8,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorjok Gak,Jalen Hudson,Mike Okauru,KeVaughn Allen,Deaundrae Ballard,Clayton Custer,Adarius Avery,Aundre Jackson,Lucas Williamson,Bruno Skokna,801,792,1,0,8,8,15,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0
Gorjok Gak,Keith Stone,Jalen Hudson,Mike Okauru,KeVaughn Allen,Clayton Custer,Adarius Avery,Aundre Jackson,Lucas Williamson,Bruno Skokna,792,675,1,0,8,12,17,24,2,3,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,0,1,1,0,0
Gorjok Gak,Keith Stone,Jalen Hudson,Mike Okauru,KeVaughn Allen,Cameron Satterwhite,Clayton Custer,Cameron Krutwig,Adarius Avery,Donte Ingram,675,675,1,1,12,12,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Stone,Chris Chiozza,Kevarrius Hayes,KeVaughn Allen,Egor Koulechov,Cameron Satterwhite,Clayton Custer,Cameron Krutwig,Adarius Avery,Donte Ingram,675,528,1,1,12,14,24,27,1,4,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,1,1,0,0,1,0,3,0,1
Jalen Hudson,Chris Chiozza,Kevarrius Hayes,KeVaughn Allen,Deaundrae Ballard,Cameron Satterwhite,Clayton Custer,Cameron Krutwig,Adarius Avery,Donte Ingram,528,528,1,1,14,14,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,Chris Chiozza,Kevarrius Hayes,KeVaughn Allen,Deaundrae Ballard,Cameron Satterwhite,Cameron Krutwig,Marques Townes,Lucas Williamson,Donte Ingram,528,511,1,1,14,14,27,27,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,Chris Chiozza,Kevarrius Hayes,KeVaughn Allen,Deaundrae Ballard,Cameron Satterwhite,Marques Townes,Aundre Jackson,Lucas Williamson,Donte Ingram,511,495,1,0,14,15,27,27,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gorjok Gak,Jalen Hudson,Chris Chiozza,KeVaughn Allen,Deaundrae Ballard,Cameron Satterwhite,Marques Townes,Aundre Jackson,Lucas Williamson,Donte Ingram,495,466,1,0,15,17,27,27,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gorjok Gak,Jalen Hudson,Kevarrius Hayes,Mike Okauru,Deaundrae Ballard,Cameron Satterwhite,Marques Townes,Aundre Jackson,Lucas Williamson,Donte Ingram,466,452,2,0,17,17,27,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorjok Gak,Jalen Hudson,Kevarrius Hayes,Mike Okauru,Deaundrae Ballard,Cameron Satterwhite,Cameron Krutwig,Aundre Jackson,Lucas Williamson,Donte Ingram,452,452,2,1,17,17,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
