Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
Keith Stone,Egor Koulechev,KeVaughn Allen,Chris Chiozza,Kevarrius Hayes,Iba Camara,Jordan Reed,Jacoby Armstrong,Elijah Jordan,Tanner Leissner,1200,937,0,0,0,8,0,7,2,3,0,0,0,1,4,4,3,1,3,1,1,2,3,0,1,1,2,0,0,1,0,1,3,0
Jalen Hudson,Gorjok Gak,Keith Stone,KeVaughn Allen,Mike Okauru,Iba Camara,Jordan Reed,Jacoby Armstrong,Elijah Jordan,Tanner Leissner,937,861,1,1,8,10,7,9,1,2,0,0,0,1,0,0,0,1,2,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0
Egor Koulechov,Jalen Hudson,Gorjok Gak,Deaundrae Ballard,KeVaughn Allen,Iba Camara,Jordan Reed,Jacoby Armstrong,Elijah Jordan,Tanner Leissner,861,790,1,1,10,10,9,11,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,3,1,0
Egor Koulechov,Jalen Hudson,Gorjok Gak,Deaundrae Ballard,KeVaughn Allen,John Ogwuche,Darryl Stewart,Jordan Reed,Jacoby Armstrong,Tanner Leissner,790,790,1,0,10,10,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Jalen Hudson,Deaundrae Ballard,Chris Chiozza,Kevarrius Hayes,John Ogwuche,Darryl Stewart,Jordan Reed,Jacoby Armstrong,Tanner Leissner,790,698,1,0,10,15,11,15,1,2,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,2,1,1,0,1,1,0,0
Egor Koulechov,Keith Stone,KeVaughn Allen,Chris Chiozza,Kevarrius Hayes,John Ogwuche,Darryl Stewart,Jordan Reed,Jacoby Armstrong,Tanner Leissner,698,698,1,0,15,15,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Egor Koulechov,Keith Stone,KeVaughn Allen,Chris Chiozza,Kevarrius Hayes,John Ogwuche,Jordan Reed,Darryl Stewart,Tanner Leissner,David Watkins,698,653,1,0,15,15,16,16,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Egor Koulechov,Keith Stone,KeVaughn Allen,Chris Chiozza,Kevarrius Hayes,John Ogwuche,Darryl Stewart,Elijah Jordan,Tanner Leissner,David Watkins,653,637,1,0,15,16,16,16,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Egor Koulechov,Keith Stone,KeVaughn Allen,Chris Chiozza,Kevarrius Hayes,John Ogwuche,Darryl Stewart,Jacoby Armstrong,Elijah Jordan,David Watkins,637,511,1,0,16,18,16,16,1,3,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,1,2,0,0
Jalen Hudson,Keith Stone,Gorjok Gak,KeVaughn Allen,Chris Chiozza,John Ogwuche,Darryl Stewart,Jacoby Armstrong,Elijah Jordan,David Watkins,511,511,1,0,18,18,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
