Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
 Chris Chiozza, Egor Koulechev, Jalen Hudson, KeVaughn Allen,Keith Stone, Collin Sexton, Daniel Giddens, Dazon Ingram, John Petty,Donta Hall,1200,1121,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
Collin Sexton,Dazon Ingram,Herb Jones,John Petty,Donta Hall, Collin Sexton, Daniel Giddens, Dazon Ingram, John Petty,Donta Hall,1121,931,0,0,0,5,2,11,1,2,0,0,1,1,0,0,3,0,2,1,0,1,2,0,0,2,3,1,1,1,0,1,0,0
Braxton Key,Collin Sexton,Dazon Ingram,Herb Jones,Donta Hall, Collin Sexton, Daniel Giddens, Dazon Ingram, John Petty,Donta Hall,931,886,0,0,5,7,11,14,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
Braxton Key,Collin Sexton,Dazon Ingram,Herb Jones,Donta Hall,Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,886,802,0,0,7,10,14,16,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0
Braxton Key,Collin Sexton,Dazon Ingram,Herb Jones,Daniel Giddens,Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,802,802,0,0,10,10,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braxton Key,Collin Sexton,Dazon Ingram,Herb Jones,Daniel Giddens,Chris Chiozza,Deaundrae Ballard,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes,802,802,0,0,10,10,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Avery Johnson Jr.,Braxton Key,Daniel Giddens,Herb Jones,Collin Sexton,Chris Chiozza,Deaundrae Ballard,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes,802,736,0,0,10,11,17,17,0,0,0,0,0,0,1,2,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
Avery Johnson Jr.,Braxton Key,Daniel Giddens,Herb Jones,John Petty,Chris Chiozza,Deaundrae Ballard,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes,736,736,0,0,11,11,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avery Johnson Jr.,Braxton Key,Daniel Giddens,Herb Jones,John Petty,Chris Chiozza,Deaundrae Ballard,Jalen Hudson,Keith Stone,Kevarrius Hayes,736,721,0,0,11,11,17,17,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avery Johnson Jr.,Braxton Key,Dazon Ingram,John Petty,Daniel Giddens,Chris Chiozza,Deaundrae Ballard,Jalen Hudson,Keith Stone,Kevarrius Hayes,721,708,0,0,11,11,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Avery Johnson Jr.,Braxton Key,Dazon Ingram,John Petty,Daniel Giddens,Deaundrae Ballard,Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,708,679,0,0,11,11,17,17,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Avery Johnson Jr.,Braxton Key,Dazon Ingram,John Petty,Galin Smith,Deaundrae Ballard,Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,679,617,0,0,11,13,17,17,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Avery Johnson Jr.,Braxton Key,Dazon Ingram,John Petty,Galin Smith,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,617,523,0,0,13,15,17,19,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0
Collin Sexton,Dazon Ingram,Galin Smith,John Petty,Avery Johnson Jr.,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,523,523,0,0,15,15,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
