Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
 Chris Chiozza, Egor Koulechev, Jalen Hudson, Mike Okauru,Dontay Bassett, Bryce Brown, Horace Spencer, Jared Harper, Mustapha Heron,Desean Murray,1200,1015,0,0,0,10,0,2,2,3,0,0,2,3,0,0,0,1,2,0,0,1,2,0,0,0,1,0,0,2,0,1,0,0
 Chris Chiozza, Egor Koulechev, Jalen Hudson, Mike Okauru,Dontay Bassett,Bryce Brown,Chuma Okeke,DeSean Murray,Jared Harper,Mustapha Heron,1015,947,1,0,10,10,2,4,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,2,2,0
 Chris Chiozza, Egor Koulechev, Jalen Hudson, Mike Okauru,Dontay Bassett,Bryce Brown,Chuma Okeke,Davion Mitchell,Horace Spencer,Malik Dunbar,947,902,1,1,10,10,4,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Chris Chiozza,Dontay Bassett,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Bryce Brown,Chuma Okeke,Davion Mitchell,Horace Spencer,Malik Dunbar,902,788,1,1,10,15,4,6,1,4,0,0,1,2,0,0,0,2,1,0,0,1,1,0,0,0,2,0,0,2,1,2,1,0
Chris Chiozza,Dontay Bassett,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Chuma Okeke,Davion Mitchell,DeSean Murray,Jared Harper,Mustapha Heron,788,788,1,0,15,15,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Chuma Okeke,Davion Mitchell,DeSean Murray,Jared Harper,Mustapha Heron,788,647,1,0,15,15,6,11,0,1,0,0,0,2,0,0,1,0,1,1,1,1,2,0,1,1,1,0,0,1,1,3,1,0
Deaundrae Ballard,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Mike Okauru,Chuma Okeke,Davion Mitchell,DeSean Murray,Jared Harper,Mustapha Heron,647,647,1,0,15,15,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaundrae Ballard,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Mike Okauru,Bryce Brown,DeSean Murray,Horace Spencer,Jared Harper,Mustapha Heron,647,501,1,1,15,15,11,13,0,1,0,1,0,2,0,0,2,2,1,0,0,1,1,0,0,0,1,0,0,1,0,2,0,1
Chris Chiozza,Dontay Bassett,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Bryce Brown,DeSean Murray,Horace Spencer,Jared Harper,Mustapha Heron,501,404,1,1,15,20,13,15,1,1,0,0,1,1,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,2,2,0,0,0
Chris Chiozza,Dontay Bassett,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Chuma Okeke,Davion Mitchell,DeSean Murray,Jared Harper,Malik Dunbar,404,281,1,0,20,22,15,18,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,Kevarrius Hayes,Mike Okauru,Chuma Okeke,Davion Mitchell,DeSean Murray,Jared Harper,Malik Dunbar,281,281,1,0,22,22,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,Kevarrius Hayes,Mike Okauru,Bryce Brown,Chuma Okeke,Davion Mitchell,DeSean Murray,Mustapha Heron,281,266,1,0,22,22,18,20,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0
Chris Chiozza,Egor Koulechov,Keith Stone,Kevarrius Hayes,Mike Okauru,Bryce Brown,Chuma Okeke,Davion Mitchell,DeSean Murray,Mustapha Heron,266,137,1,0,22,24,20,22,1,1,0,0,0,1,0,0,2,0,1,1,0,1,2,0,0,0,0,0,0,1,0,1,0,0
Chris Chiozza,Egor Koulechov,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Bryce Brown,Chuma Okeke,Davion Mitchell,DeSean Murray,Mustapha Heron,137,137,1,0,24,24,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Bryce Brown,Chuma Okeke,DeSean Murray,Jared Harper,Mustapha Heron,137,83,1,0,24,27,22,24,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Bryce Brown,Chuma Okeke,DeSean Murray,Jared Harper,Mustapha Heron,83,2,1,0,27,30,24,24,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Bryce Brown,DeSean Murray,Horace Spencer,Jared Harper,Mustapha Heron,2,0,1,1,30,33,24,24,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Dontay Bassett,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Bryce Brown,DeSean Murray,Horace Spencer,Jared Harper,Mustapha Heron,1200,1072,1,1,33,40,24,29,2,2,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0
Chris Chiozza,Dontay Bassett,Egor Koulechov,KeVaughn Allen,Mike Okauru,Bryce Brown,DeSean Murray,Horace Spencer,Jared Harper,Mustapha Heron,1072,1061,1,1,40,40,29,29,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Chris Chiozza,Dontay Bassett,Egor Koulechov,KeVaughn Allen,Mike Okauru,Bryce Brown,Chuma Okeke,DeSean Murray,Jared Harper,Mustapha Heron,1061,938,1,0,40,43,29,35,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,2,1,0
Chris Chiozza,Dontay Bassett,Egor Koulechov,KeVaughn Allen,Mike Okauru,Bryce Brown,Chuma Okeke,Davion Mitchell,Horace Spencer,Malik Dunbar,938,938,1,1,43,43,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Mike Okauru,Bryce Brown,Chuma Okeke,Davion Mitchell,Horace Spencer,Malik Dunbar,938,853,1,1,43,46,35,40,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Bryce Brown,Chuma Okeke,Davion Mitchell,Horace Spencer,Malik Dunbar,853,790,1,1,46,46,40,42,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Chuma Okeke,Davion Mitchell,Horace Spencer,Jared Harper,Malik Dunbar,790,738,1,1,46,48,42,42,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Chuma Okeke,Davion Mitchell,DeSean Murray,Jared Harper,Malik Dunbar,738,738,1,0,48,48,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Jalen Hudson,Kevarrius Hayes,Chuma Okeke,Davion Mitchell,DeSean Murray,Jared Harper,Malik Dunbar,738,708,1,0,48,48,42,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Dontay Bassett,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Chuma Okeke,Davion Mitchell,DeSean Murray,Jared Harper,Malik Dunbar,708,581,1,0,48,52,44,46,2,3,0,0,0,1,0,0,1,1,1,0,0,1,3,0,0,0,1,0,0,1,2,1,2,0
Chris Chiozza,Dontay Bassett,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Bryce Brown,Chuma Okeke,DeSean Murray,Jared Harper,Mustapha Heron,581,562,1,0,52,53,46,47,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Chris Chiozza,Dontay Bassett,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Bryce Brown,DeSean Murray,Horace Spencer,Jared Harper,Mustapha Heron,562,369,1,1,53,55,47,51,1,5,0,0,0,1,0,0,0,2,3,0,0,2,5,0,0,0,0,0,1,0,1,3,1,0
Chris Chiozza,Dontay Bassett,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Bryce Brown,Chuma Okeke,Horace Spencer,Jared Harper,Mustapha Heron,369,369,1,1,55,55,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Dontay Bassett,Jalen Hudson,KeVaughn Allen,Keith Stone,Bryce Brown,Chuma Okeke,Horace Spencer,Jared Harper,Mustapha Heron,369,341,1,1,55,56,51,51,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Chris Chiozza,Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Bryce Brown,Chuma Okeke,Horace Spencer,Jared Harper,Mustapha Heron,341,311,1,1,56,56,51,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Bryce Brown,Chuma Okeke,Horace Spencer,Jared Harper,Mustapha Heron,311,180,1,1,56,59,51,59,0,0,0,0,1,2,0,0,0,0,0,1,0,1,2,0,0,2,2,0,0,0,1,1,1,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Bryce Brown,Chuma Okeke,DeSean Murray,Jared Harper,Mustapha Heron,180,180,1,0,59,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Dontay Bassett,Jalen Hudson,KeVaughn Allen,Keith Stone,Bryce Brown,Chuma Okeke,DeSean Murray,Jared Harper,Mustapha Heron,180,166,1,0,59,60,59,61,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
