Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
 Egor Koulechov, Jalen Hudson, KeVaughn Allen, Keith Stone,Chris Chiozza, Gary Clark, Jarron Cumberland, Justin Jenifer, Kyle Washington,Jacob Evans III,1200,970,0,0,0,2,0,8,0,1,0,1,0,0,2,2,3,1,0,0,0,1,1,0,0,2,3,0,0,3,1,1,2,1
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes, Gary Clark, Jarron Cumberland, Justin Jenifer, Kyle Washington,Jacob Evans III,970,889,1,1,2,4,8,10,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,2,1,0,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes,Cane Broome,Gary Clark,Jarron Cumberland,Keith Williams,Kyle Washington,889,741,1,1,4,10,10,10,3,4,0,0,0,1,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,3,0,1,0,1
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes,Gary Clark,Jacob Evans III,Jarron Cumberland,Justin Jenifer,Nysier Brooks,741,705,1,1,10,10,10,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes,Jacob Evans III,Jarron Cumberland,Justin Jenifer,Nysier Brooks,Tre Scott,705,705,1,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaundrae Ballard,Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Jacob Evans III,Jarron Cumberland,Justin Jenifer,Nysier Brooks,Tre Scott,705,631,1,0,10,12,10,12,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Chris Chiozza,Deaundrae Ballard,Gorjok Gak,Jalen Hudson,Keith Stone,Jacob Evans III,Jarron Cumberland,Justin Jenifer,Nysier Brooks,Tre Scott,631,582,1,0,12,12,12,12,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0
Chris Chiozza,Deaundrae Ballard,Gorjok Gak,Jalen Hudson,Keith Stone,Jacob Evans III,Jarron Cumberland,Justin Jenifer,Kyle Washington,Tre Scott,582,582,1,0,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,Gorjok Gak,Jalen Hudson,Keith Stone,Jacob Evans III,Jarron Cumberland,Justin Jenifer,Kyle Washington,Tre Scott,582,522,1,0,12,15,12,12,0,0,0,0,1,2,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,1,1,0,0
Chris Chiozza,Egor Koulechov,Gorjok Gak,Jalen Hudson,Keith Stone,Cane Broome,Gary Clark,Jacob Evans III,Justin Jenifer,Kyle Washington,522,495,1,1,15,18,12,14,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
