Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
 Chris Chiozza, Egor Koulechev, Jalen Hudson, KeVaughn Allen,Keith Stone, Elijah Thomas, Gabe Devoe, Marcquise Reed, Shelton Mitchell,Donte Grantham,1200,1112,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,1,1,0,1,0,0,0,2,0,0,1,1,2,0,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes, Elijah Thomas, Gabe Devoe, Marcquise Reed, Shelton Mitchell,Donte Grantham,1112,981,1,0,0,3,0,2,0,1,0,0,1,2,0,0,1,1,2,1,0,1,2,0,0,0,1,0,0,0,0,1,0,0
Chris Chiozza,Egor Koulechov,Gorjok Gak,Jalen Hudson,KeVaughn Allen, Elijah Thomas, Gabe Devoe, Marcquise Reed, Shelton Mitchell,Donte Grantham,981,928,1,0,3,5,2,4,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0
Chris Chiozza,Egor Koulechov,Gorjok Gak,Jalen Hudson,KeVaughn Allen,David Skara,Donte Grantham,Marcquise Reed,Mark Donnal,Shelton Mitchell,928,928,1,0,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Gorjok Gak,Jalen Hudson,Keith Stone,David Skara,Donte Grantham,Marcquise Reed,Mark Donnal,Shelton Mitchell,928,858,1,0,5,10,4,4,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Gorjok Gak,Jalen Hudson,David Skara,Donte Grantham,Marcquise Reed,Mark Donnal,Shelton Mitchell,858,858,1,0,10,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Gorjok Gak,Jalen Hudson,Aamir Simms,David Skara,Marcquise Reed,Mark Donnal,Shelton Mitchell,858,826,1,0,10,10,4,4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Gorjok Gak,Jalen Hudson,Aamir Simms,David Skara,Gabe DeVoe,Marcquise Reed,Mark Donnal,826,798,1,0,10,10,4,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Aamir Simms,David Skara,Gabe DeVoe,Marcquise Reed,Mark Donnal,798,724,1,0,10,10,7,9,0,1,0,0,0,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,2,2,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,David Skara,Donte Grantham,Elijah Thomas,Gabe DeVoe,Shelton Mitchell,724,724,1,1,10,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaundrae Ballard,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,David Skara,Donte Grantham,Elijah Thomas,Gabe DeVoe,Shelton Mitchell,724,681,1,1,10,11,9,9,0,1,0,0,0,1,1,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
