Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
 Chris Chiozza, Egor Koulechev, Jalen Hudson, Kevarrius Hayes,Keith Stone, Juwan Parker, Nicolas Claxton, Rayshaun Hammonds, William Jackson II,Yante Maten,1200,1005,0,0,0,5,0,5,1,2,0,0,1,4,0,0,1,1,2,0,0,1,2,0,0,1,2,0,0,1,0,3,0,0
E'Torrion Wilridge,Juwan Parker,Nicolas Claxton,William Jackson II,Yante Maten, Juwan Parker, Nicolas Claxton, Rayshaun Hammonds, William Jackson II,Yante Maten,1005,825,0,2,5,10,5,13,1,2,0,1,1,2,0,0,1,2,1,2,0,1,2,0,0,2,3,0,0,0,1,1,0,1
E'Torrion Wilridge,Juwan Parker,Nicolas Claxton,William Jackson II,Yante Maten,Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,825,825,0,0,10,10,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juwan Parker,Nicolas Claxton,Rayshaun Hammonds,William Jackson II,Yante Maten,Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,825,776,0,0,10,12,13,15,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0
Juwan Parker,Nicolas Claxton,Rayshaun Hammonds,William Jackson II,Yante Maten,Chris Chiozza,Dontay Bassett,Egor Koulechov,Jalen Hudson,KeVaughn Allen,776,605,0,0,12,14,15,20,1,4,0,0,0,2,0,0,1,3,2,0,0,1,4,0,0,1,1,0,0,0,1,2,0,0
Juwan Parker,Nicolas Claxton,Rayshaun Hammonds,William Jackson II,Yante Maten,Chris Chiozza,Deaundrae Ballard,Dontay Bassett,Jalen Hudson,Keith Stone,605,605,0,0,14,14,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Ogbeide,Jordan Harris,Mike Edwards,Rayshaun Hammonds,William Jackson II,Chris Chiozza,Deaundrae Ballard,Dontay Bassett,Jalen Hudson,Keith Stone,605,539,0,0,14,16,20,20,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
Derek Ogbeide,Jordan Harris,Mike Edwards,Rayshaun Hammonds,William Jackson II,Chris Chiozza,Deaundrae Ballard,Gorjok Gak,Jalen Hudson,Keith Stone,539,539,0,0,16,16,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Ogbeide,Jordan Harris,Rayshaun Hammonds,Tyree Crump,Yante Maten,Chris Chiozza,Deaundrae Ballard,Gorjok Gak,Jalen Hudson,Keith Stone,539,428,0,0,16,18,20,22,1,3,0,0,0,1,0,1,1,3,1,0,0,1,3,0,0,0,0,0,0,0,1,1,1,0
Derek Ogbeide,Jordan Harris,Rayshaun Hammonds,Tyree Crump,Yante Maten,Deaundrae Ballard,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Keith Stone,428,406,0,0,18,18,22,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Derek Ogbeide,Jordan Harris,Juwan Parker,Tyree Crump,Yante Maten,Deaundrae Ballard,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Keith Stone,406,363,0,0,18,22,23,24,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0
Derek Ogbeide,Jordan Harris,Juwan Parker,Mike Edwards,Tyree Crump,Deaundrae Ballard,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Keith Stone,363,299,0,0,22,28,24,26,0,0,0,0,2,2,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
Derek Ogbeide,Jordan Harris,Juwan Parker,Mike Edwards,Tyree Crump,Chris Chiozza,Egor Koulechov,Gorjok Gak,Jalen Hudson,Keith Stone,299,240,0,0,28,28,26,26,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0
Derek Ogbeide,Jordan Harris,Juwan Parker,Mike Edwards,Tyree Crump,Chris Chiozza,Egor Koulechov,Jalen Hudson,Keith Stone,Kevarrius Hayes,240,240,0,0,28,28,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Harris,Juwan Parker,Mike Edwards,William Jackson II,Yante Maten,Chris Chiozza,Egor Koulechov,Jalen Hudson,Keith Stone,Kevarrius Hayes,240,145,0,0,28,33,26,26,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,1,0
Juwan Parker,Mike Edwards,Rayshaun Hammonds,William Jackson II,Yante Maten,Chris Chiozza,Egor Koulechov,Jalen Hudson,Keith Stone,Kevarrius Hayes,145,129,0,0,33,33,26,26,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
