Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
 Chris Chiozza, Egor Koulechev, KeVaughn Allen, Kevarrius Hayes,Jalen Hudson, Jalin Hart, Keaton Hervey, Shawn Johnson, Simi Socks,Charles Brown III,1200,1001,0,0,0,2,0,2,1,3,0,0,0,2,0,0,1,1,3,0,0,1,2,0,0,0,2,0,0,1,0,3,0,0
Chris Chiozza,Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes, Jalin Hart, Keaton Hervey, Shawn Johnson, Simi Socks,Charles Brown III,1001,1001,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Charles Brown III,Jalin Hart,Keaton Hervey,Konstantin Kulikov,Shawn Johnson,1001,924,1,0,2,4,2,2,1,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,2,0,0
Chris Chiozza,Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Jalin Hart,Keaton Hervey,Konstantin Kulikov,Shawn Johnson,Simi Socks,924,921,1,0,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Jalin Hart,Keaton Hervey,Konstantin Kulikov,Shawn Johnson,Simi Socks,921,874,1,0,4,7,4,8,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0
Chris Chiozza,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Christian Peevy,Jalin Hart,Keaton Hervey,Shawn Johnson,Simi Socks,874,874,1,0,7,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Mike Okauru,Christian Peevy,Jalin Hart,Keaton Hervey,Shawn Johnson,Simi Socks,874,807,1,0,7,10,8,8,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Mike Okauru,Christian Peevy,Cody Graham,Keaton Hervey,Shawn Johnson,Simi Socks,807,685,1,0,10,18,8,14,1,1,0,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
Deaundrae Ballard,Jalen Hudson,Keith Stone,Kevarrius Hayes,Mike Okauru,Christian Peevy,Cody Graham,Keaton Hervey,Shawn Johnson,Simi Socks,685,685,1,0,18,18,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaundrae Ballard,Jalen Hudson,Keith Stone,Kevarrius Hayes,Mike Okauru,Christian Peevy,Jalin Hart,Sam Burmeister,Shawn Johnson,Simi Socks,685,675,1,0,18,18,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaundrae Ballard,Jalen Hudson,Keith Stone,Kevarrius Hayes,Mike Okauru,Charles Brown III,Jalin Hart,Sam Burmeister,Shawn Johnson,Simi Socks,675,551,1,0,18,20,14,16,1,3,0,0,0,2,0,1,0,2,2,0,0,1,3,0,0,0,0,0,0,0,0,3,2,0
Deaundrae Ballard,Jalen Hudson,Keith Stone,Kevarrius Hayes,Mike Okauru,Charles Brown III,Jalin Hart,Konstantin Kulikov,Sam Burmeister,Shawn Johnson,551,551,1,0,20,20,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Gorjok Gak,KeVaughn Allen,Keith Stone,Charles Brown III,Jalin Hart,Konstantin Kulikov,Sam Burmeister,Shawn Johnson,551,448,1,0,20,23,16,19,0,3,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,2,1,0
Chris Chiozza,Deaundrae Ballard,Gorjok Gak,KeVaughn Allen,Keith Stone,Augustine Ene,Cody Graham,Konstantin Kulikov,Sam Burmeister,Simi Socks,448,448,1,0,23,23,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes,Augustine Ene,Cody Graham,Konstantin Kulikov,Sam Burmeister,Simi Socks,448,350,1,0,23,25,19,21,0,1,0,1,0,2,2,2,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,3,0,1
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Augustine Ene,Cody Graham,Konstantin Kulikov,Sam Burmeister,Simi Socks,350,337,1,0,25,26,21,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Augustine Ene,Cody Graham,Keaton Hervey,Konstantin Kulikov,Simi Socks,337,316,1,0,26,28,21,21,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Augustine Ene,Charles Brown III,Cody Graham,Keaton Hervey,Simi Socks,316,263,1,0,28,29,21,21,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Charles Brown III,Cody Graham,Keaton Hervey,Shawn Johnson,Simi Socks,263,141,1,0,29,35,21,26,3,3,0,0,0,2,0,0,0,1,0,1,1,1,2,0,0,1,1,0,0,1,1,1,0,0
Chris Chiozza,Egor Koulechov,Gorjok Gak,Keith Stone,Mike Okauru,Charles Brown III,Cody Graham,Keaton Hervey,Shawn Johnson,Simi Socks,141,141,1,0,35,35,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,Gorjok Gak,Keith Stone,Mike Okauru,Charles Brown III,Christian Peevy,Cody Graham,Keaton Hervey,Shawn Johnson,141,108,1,0,35,35,26,29,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,4,0,0,0,0,0
Chris Chiozza,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Charles Brown III,Christian Peevy,Cody Graham,Keaton Hervey,Shawn Johnson,108,65,1,0,35,36,29,31,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
Chris Chiozza,Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Charles Brown III,Christian Peevy,Cody Graham,Keaton Hervey,Shawn Johnson,65,43,1,0,36,37,31,31,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chris Chiozza,Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Charles Brown III,Cody Graham,Keaton Hervey,Shawn Johnson,Simi Socks,43,11,1,0,37,37,31,31,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Mike Okauru,Charles Brown III,Cody Graham,Keaton Hervey,Shawn Johnson,Simi Socks,11,0,1,0,37,37,31,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Mike Okauru,Charles Brown III,Jalin Hart,Keaton Hervey,Shawn Johnson,Simi Socks,1200,1200,1,0,37,37,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Charles Brown III,Jalin Hart,Keaton Hervey,Shawn Johnson,Simi Socks,1200,1176,1,0,37,37,34,37,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
