Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
 Chris Chiozza, Egor Koulechev, KeVaughn Allen, Kevarrius Hayes,Keith Stone, Darius Banks, DeVelle Phillips, Joey McLean, Stuckey Mosley,Ramone Snowden,1200,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes, Darius Banks, DeVelle Phillips, Joey McLean, Stuckey Mosley,Ramone Snowden,1173,1022,1,0,0,2,0,0,0,2,0,0,0,1,2,2,0,0,3,0,1,0,1,0,1,0,1,0,0,2,0,3,3,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Darius Banks,Joey McLean,Ramone Snowden,Stuckey Mosley,Zach Jacobs,1022,967,1,0,2,6,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes,Darius Banks,Joey McLean,Ramone Snowden,Stuckey Mosley,Zach Jacobs,967,956,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Gorjok Gak,Mike Okauru,Darius Banks,Joey McLean,Ramone Snowden,Stuckey Mosley,Zach Jacobs,956,956,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Gorjok Gak,Mike Okauru,Darius Banks,Matt Lewis,Ramone Snowden,Stuckey Mosley,Zach Jacobs,956,789,1,0,6,8,0,5,1,1,0,0,0,3,0,0,2,2,2,0,0,1,2,0,0,1,2,0,0,0,0,1,0,0
Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Mike Okauru,Darius Banks,Matt Lewis,Ramone Snowden,Stuckey Mosley,Zach Jacobs,789,789,1,0,8,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Mike Okauru,Greg Jones,Joey McLean,Matt Lewis,Stuckey Mosley,Zach Jacobs,789,722,1,0,8,8,5,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,2,1,1,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Greg Jones,Joey McLean,Matt Lewis,Stuckey Mosley,Zach Jacobs,722,515,1,0,8,19,8,15,1,1,0,0,3,3,0,0,1,0,2,0,1,2,3,0,0,1,2,0,0,0,0,0,1,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Dwight Wilson,Greg Jones,Joey McLean,Matt Lewis,Ramone Snowden,515,515,1,0,19,19,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Dwight Wilson,Greg Jones,Joey McLean,Matt Lewis,Ramone Snowden,515,489,1,0,19,19,15,15,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Chris Chiozza,Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Dwight Wilson,Greg Jones,Joey McLean,Matt Lewis,Ramone Snowden,489,467,1,0,19,19,15,17,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Chris Chiozza,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Dwight Wilson,Greg Jones,Joey McLean,Matt Lewis,Ramone Snowden,467,443,1,0,19,19,17,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Chris Chiozza,Dontay Bassett,Jalen Hudson,KeVaughn Allen,Keith Stone,Dwight Wilson,Greg Jones,Joey McLean,Matt Lewis,Ramone Snowden,443,443,1,0,19,19,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Dontay Bassett,Jalen Hudson,KeVaughn Allen,Keith Stone,Dwight Wilson,Joey McLean,Matt Lewis,Ramone Snowden,Stuckey Mosley,443,403,1,0,19,22,18,21,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0
Chris Chiozza,Gorjok Gak,Jalen Hudson,Keith Stone,Mike Okauru,Dwight Wilson,Joey McLean,Matt Lewis,Ramone Snowden,Stuckey Mosley,403,403,1,0,22,22,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Gorjok Gak,Jalen Hudson,Keith Stone,Mike Okauru,Darius Banks,Dwight Wilson,Matt Lewis,Ramone Snowden,Stuckey Mosley,403,347,1,0,22,27,21,23,2,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Chris Chiozza,Jalen Hudson,Keith Stone,Kevarrius Hayes,Mike Okauru,Darius Banks,Dwight Wilson,Matt Lewis,Ramone Snowden,Stuckey Mosley,347,324,1,0,27,28,23,23,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Chris Chiozza,Deaundrae Ballard,Jalen Hudson,Keith Stone,Kevarrius Hayes,Darius Banks,Dwight Wilson,Matt Lewis,Ramone Snowden,Stuckey Mosley,324,283,1,0,28,28,23,25,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Chris Chiozza,Deaundrae Ballard,Jalen Hudson,Keith Stone,Kevarrius Hayes,Darius Banks,Matt Lewis,Ramone Snowden,Stuckey Mosley,Zach Jacobs,283,283,1,0,28,28,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Keith Stone,Kevarrius Hayes,Darius Banks,Matt Lewis,Ramone Snowden,Stuckey Mosley,Zach Jacobs,283,226,1,0,28,31,25,27,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Deaundrae Ballard,Egor Koulechov,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Darius Banks,Matt Lewis,Ramone Snowden,Stuckey Mosley,Zach Jacobs,226,157,1,0,31,31,27,28,0,1,0,0,0,2,0,1,1,2,1,0,0,0,1,0,0,0,0,1,1,1,0,1,2,1
Deaundrae Ballard,Egor Koulechov,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Greg Jones,Matt Lewis,Ramone Snowden,Stuckey Mosley,Zach Jacobs,157,65,1,0,31,31,28,30,0,1,0,0,0,0,0,1,2,0,2,1,1,1,1,0,1,0,1,0,0,0,0,2,0,0
Chris Chiozza,Deaundrae Ballard,Gorjok Gak,Jalen Hudson,Keith Stone,Greg Jones,Matt Lewis,Ramone Snowden,Stuckey Mosley,Zach Jacobs,65,2,1,0,31,31,30,30,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
Chris Chiozza,Gorjok Gak,Jalen Hudson,Keith Stone,Mike Okauru,Greg Jones,Matt Lewis,Ramone Snowden,Stuckey Mosley,Zach Jacobs,2,0,1,0,31,31,30,30,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Greg Jones,Matt Lewis,Ramone Snowden,Stuckey Mosley,Zach Jacobs,1200,1200,1,0,31,31,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Darius Banks,Develle Phillips,Joey McLean,Ramone Snowden,Stuckey Mosley,1200,1029,1,1,31,39,30,30,1,1,0,0,2,4,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,5,0,1,2,0
Chris Chiozza,Egor Koulechov,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Darius Banks,Develle Phillips,Matt Lewis,Ramone Snowden,Stuckey Mosley,1029,962,1,1,39,41,30,34,0,1,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,2,0
Chris Chiozza,Egor Koulechov,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Darius Banks,Dwight Wilson,Matt Lewis,Ramone Snowden,Stuckey Mosley,962,962,1,0,41,41,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
