Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
 Chris Chiozza, Egor Koulechev, KeVaughn Allen, Kevarrius Hayes,Keith Stone, Hamidou Dialio, Kevin Knox, Nick Richards, PJ Washington,Shai Gilgeous-Alexander,1200,885,0,0,0,8,0,10,4,8,0,0,0,0,0,0,0,0,3,1,2,2,3,0,2,2,5,0,0,0,3,4,0,0
 Chris Chiozza, Egor Koulechev, KeVaughn Allen, Kevarrius Hayes,Keith Stone,Chris Chiozza,Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,885,885,0,0,8,8,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamidou Diallo,Kevin Knox,Sacha Killeya-Jones,Shai Gilgeous-Alexander,Wenyen Gabriel,Chris Chiozza,Jalen Hudson,KeVaughn Allen,Keith Stone,Kevarrius Hayes,885,846,0,0,8,10,10,10,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
Hamidou Diallo,Kevin Knox,Sacha Killeya-Jones,Shai Gilgeous-Alexander,Wenyen Gabriel,Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Keith Stone,846,832,0,0,10,11,10,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jarred Vanderbilt,Quade Green,Sacha Killeya-Jones,Shai Gilgeous-Alexander,Wenyen Gabriel,Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Keith Stone,832,787,0,0,11,13,10,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Jarred Vanderbilt,Quade Green,Sacha Killeya-Jones,Shai Gilgeous-Alexander,Wenyen Gabriel,Chris Chiozza,Egor Koulechov,Jalen Hudson,Keith Stone,Mike Okauru,787,738,0,0,13,17,13,14,2,3,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Jarred Vanderbilt,Quade Green,Sacha Killeya-Jones,Shai Gilgeous-Alexander,Wenyen Gabriel,Chris Chiozza,Dontay Bassett,Egor Koulechov,Jalen Hudson,Mike Okauru,738,738,0,0,17,17,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamidou Diallo,Jarred Vanderbilt,Quade Green,Sacha Killeya-Jones,Wenyen Gabriel,Chris Chiozza,Dontay Bassett,Egor Koulechov,Jalen Hudson,Mike Okauru,738,714,0,0,17,17,14,15,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0
Hamidou Diallo,Jarred Vanderbilt,Quade Green,Sacha Killeya-Jones,Wenyen Gabriel,Dontay Bassett,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Mike Okauru,714,714,0,0,17,17,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hamidou Diallo,Kevin Knox,Nick Richards,PJ Washington,Quade Green,Dontay Bassett,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Mike Okauru,714,654,0,0,17,19,15,18,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0
