Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
 Deaundrae Ballard, Egor Koulechov, Keith Stone, Kevarrius Hayes,Chris Chiozza, Cameron Krutwig, Clayton Custer, Donte Ingram, Marques Townes,Aundre Jackson,1200,1042,0,0,0,4,0,5,2,3,0,0,0,1,0,0,2,2,0,0,0,1,1,0,0,1,1,0,0,2,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Gorjok Gak,Keith Stone, Cameron Krutwig, Clayton Custer, Donte Ingram, Marques Townes,Aundre Jackson,1042,1008,1,0,4,4,5,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Gorjok Gak,Keith Stone,Aundre Jackson,Cameron Krutwig,Donte Ingram,Lucas Williamson,Marques Townes,1008,950,1,1,4,4,5,8,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Chris Chiozza,Egor Koulechov,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Aundre Jackson,Cameron Krutwig,Donte Ingram,Lucas Williamson,Marques Townes,950,801,1,1,4,8,8,15,2,3,0,1,0,1,0,0,0,1,0,0,0,2,2,0,0,1,1,0,0,1,0,2,0,1
Chris Chiozza,Egor Koulechov,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Adarius Avery,Aundre Jackson,Bruno Skokna,Clayton Custer,Lucas Williamson,801,801,1,0,8,8,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaundrae Ballard,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Mike Okauru,Adarius Avery,Aundre Jackson,Bruno Skokna,Clayton Custer,Lucas Williamson,801,792,1,0,8,8,15,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0
Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Mike Okauru,Adarius Avery,Aundre Jackson,Bruno Skokna,Clayton Custer,Lucas Williamson,792,675,1,0,8,12,17,24,2,3,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,0,1,1,0,0
Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Mike Okauru,Adarius Avery,Cameron Krutwig,Cameron Satterwhite,Clayton Custer,Donte Ingram,675,675,1,1,12,12,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Adarius Avery,Cameron Krutwig,Cameron Satterwhite,Clayton Custer,Donte Ingram,675,528,1,1,12,14,24,27,1,4,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,1,1,0,0,1,0,3,0,1
Chris Chiozza,Deaundrae Ballard,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Adarius Avery,Cameron Krutwig,Cameron Satterwhite,Clayton Custer,Donte Ingram,528,528,1,1,14,14,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Cameron Krutwig,Cameron Satterwhite,Donte Ingram,Lucas Williamson,Marques Townes,528,511,1,1,14,14,27,27,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Aundre Jackson,Cameron Satterwhite,Donte Ingram,Lucas Williamson,Marques Townes,511,495,1,0,14,15,27,27,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chris Chiozza,Deaundrae Ballard,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Aundre Jackson,Cameron Satterwhite,Donte Ingram,Lucas Williamson,Marques Townes,495,466,1,0,15,17,27,27,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Deaundrae Ballard,Gorjok Gak,Jalen Hudson,Kevarrius Hayes,Mike Okauru,Aundre Jackson,Cameron Satterwhite,Donte Ingram,Lucas Williamson,Marques Townes,466,452,2,0,17,17,27,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
