Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
 Chris Chiozza, Egor Koulechev, KeVaughn Allen, Kevarrius Hayes,Keith Stone, Jeremiah Tilmon, Jordan Geist, Kassius Robertson, Kevin Puryear,Jordan Barnett,1200,1019,0,0,0,4,0,2,1,2,0,0,0,0,2,2,2,1,2,1,0,1,3,0,0,0,2,0,0,1,2,0,1,0
Jeremiah Tilmon,Jontay Porter,Jordan Barnett,Jordan Geist,Kassius Robertson, Jeremiah Tilmon, Jordan Geist, Kassius Robertson, Kevin Puryear,Jordan Barnett,1019,1019,0,0,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremiah Tilmon,Jontay Porter,Jordan Barnett,Jordan Geist,Kassius Robertson,Chris Chiozza,Egor Koulechov,Jalen Hudson,Keith Stone,Kevarrius Hayes,1019,947,0,0,4,7,2,2,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Jontay Porter,Jordan Barnett,Jordan Geist,Kassius Robertson,Kevin Puryear,Chris Chiozza,Egor Koulechov,Jalen Hudson,Keith Stone,Kevarrius Hayes,947,915,0,0,7,10,2,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Jontay Porter,Jordan Barnett,Kassius Robertson,Kevin Puryear,Terrence Phillips,Chris Chiozza,Egor Koulechov,Jalen Hudson,Keith Stone,Kevarrius Hayes,915,890,0,0,10,10,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
Jontay Porter,Jordan Barnett,Kassius Robertson,Kevin Puryear,Terrence Phillips,Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Jalen Hudson,Kevarrius Hayes,890,890,0,0,10,10,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cullen VanLeer,Jontay Porter,Jordan Barnett,Kevin Puryear,Terrence Phillips,Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Jalen Hudson,Kevarrius Hayes,890,749,0,0,10,19,7,10,2,2,0,0,1,1,2,2,1,0,2,0,1,0,1,0,0,1,2,0,0,1,0,0,1,0
Cullen VanLeer,Jontay Porter,Kassius Robertson,Reed Nikko,Terrence Phillips,Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Jalen Hudson,Kevarrius Hayes,749,749,0,0,19,19,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cullen VanLeer,Jontay Porter,Kassius Robertson,Reed Nikko,Terrence Phillips,Deaundrae Ballard,Gorjok Gak,KeVaughn Allen,Keith Stone,Mike Okauru,749,689,0,0,19,22,10,12,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Jontay Porter,Jordan Barnett,Jordan Geist,Kassius Robertson,Kevin Puryear,Deaundrae Ballard,Gorjok Gak,KeVaughn Allen,Keith Stone,Mike Okauru,689,633,0,0,22,24,12,12,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
