Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
 Chris Chiozza, Egor Koulechev, KeVaughn Allen, Kevarrius Hayes,Keith Stone, Breein Tyree, Deandre Burnett, Dominik Olejniczak, Markel Crawford,Bruce Stevens,1200,1031,0,0,0,5,0,7,1,2,0,1,1,1,0,0,0,0,1,1,0,1,2,0,0,1,1,2,2,1,0,2,0,1
 Chris Chiozza, Egor Koulechev, KeVaughn Allen, Kevarrius Hayes,Keith Stone,Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,1031,992,0,0,5,8,7,7,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Breein Tyree,Bruce Stevens,Deandre Burnett,Markel Crawford,Terence Davis,Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,992,992,0,0,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breein Tyree,Bruce Stevens,Deandre Burnett,Markel Crawford,Terence Davis,Chris Chiozza,Egor Koulechov,Gorjok Gak,Jalen Hudson,KeVaughn Allen,992,883,0,0,8,8,7,9,0,1,0,0,0,2,0,0,0,0,2,0,0,1,1,0,0,0,3,0,0,0,1,3,1,0
Breein Tyree,Bruce Stevens,Deandre Burnett,Markel Crawford,Terence Davis,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Mike Okauru,883,883,0,0,8,8,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deandre Burnett,Devontae Shuler,Dominik Olejniczak,Markel Crawford,Terence Davis,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Mike Okauru,883,796,0,0,8,10,9,12,0,0,0,0,0,0,2,2,2,0,1,1,0,1,2,0,0,0,0,1,1,0,0,0,0,0
Bruce Stevens,Deandre Burnett,Devontae Shuler,Justas Furmanavicius,Terence Davis,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Mike Okauru,796,742,0,0,10,10,12,16,0,1,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,2,0,1
Breein Tyree,Bruce Stevens,Devontae Shuler,Justas Furmanavicius,Terence Davis,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Mike Okauru,742,742,0,0,10,10,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breein Tyree,Bruce Stevens,Devontae Shuler,Justas Furmanavicius,Terence Davis,Egor Koulechov,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Mike Okauru,742,713,0,0,10,11,16,17,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1,1,1
Breein Tyree,Bruce Stevens,Devontae Shuler,Justas Furmanavicius,Terence Davis,Chris Chiozza,Egor Koulechov,Gorjok Gak,Jalen Hudson,Mike Okauru,713,690,0,0,11,12,17,17,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Breein Tyree,Bruce Stevens,Devontae Shuler,Justas Furmanavicius,Terence Davis,Chris Chiozza,Egor Koulechov,Keith Stone,Kevarrius Hayes,Mike Okauru,690,690,0,0,12,12,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breein Tyree,Bruce Stevens,Devontae Shuler,Justas Furmanavicius,Markel Crawford,Chris Chiozza,Egor Koulechov,Keith Stone,Kevarrius Hayes,Mike Okauru,690,631,0,0,12,13,17,17,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Breein Tyree,Bruce Stevens,Devontae Shuler,Justas Furmanavicius,Markel Crawford,Chris Chiozza,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Keith Stone,631,631,0,0,13,13,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breein Tyree,Bruce Stevens,Deandre Burnett,Justas Furmanavicius,Markel Crawford,Chris Chiozza,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Keith Stone,631,555,0,0,13,16,17,19,1,2,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0
Deandre Burnett,Dominik Olejniczak,Marcanvis Hymon,Markel Crawford,Terence Davis,Chris Chiozza,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Keith Stone,555,413,0,0,16,20,19,22,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,0,2,0,0
Deandre Burnett,Devontae Shuler,Dominik Olejniczak,Marcanvis Hymon,Terence Davis,Chris Chiozza,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Keith Stone,413,356,0,0,20,20,22,22,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0
Bruce Stevens,Deandre Burnett,Devontae Shuler,Marcanvis Hymon,Terence Davis,Chris Chiozza,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Keith Stone,356,329,0,0,20,22,22,22,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruce Stevens,Deandre Burnett,Devontae Shuler,Marcanvis Hymon,Markel Crawford,Chris Chiozza,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Keith Stone,329,265,0,0,22,22,22,25,0,3,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1
Bruce Stevens,Deandre Burnett,Devontae Shuler,Marcanvis Hymon,Markel Crawford,Chris Chiozza,Dontay Bassett,Egor Koulechov,KeVaughn Allen,Keith Stone,265,265,0,0,22,22,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breein Tyree,Bruce Stevens,Devontae Shuler,Marcanvis Hymon,Markel Crawford,Chris Chiozza,Dontay Bassett,Egor Koulechov,KeVaughn Allen,Keith Stone,265,240,0,0,22,23,25,25,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Breein Tyree,Bruce Stevens,Devontae Shuler,Marcanvis Hymon,Markel Crawford,Chris Chiozza,Dontay Bassett,Egor Koulechov,Jalen Hudson,Keith Stone,240,183,0,0,23,25,25,25,1,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0
Breein Tyree,Bruce Stevens,Devontae Shuler,Marcanvis Hymon,Markel Crawford,Chris Chiozza,Egor Koulechov,Jalen Hudson,Keith Stone,Mike Okauru,183,72,0,0,25,29,25,28,1,2,0,0,0,1,2,2,0,0,3,0,0,0,2,0,0,1,2,0,0,0,0,2,0,0
Bruce Stevens,Deandre Burnett,Marcanvis Hymon,Markel Crawford,Terence Davis,Chris Chiozza,Egor Koulechov,Jalen Hudson,Keith Stone,Mike Okauru,72,17,0,0,29,31,28,28,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
