Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
 Chris Chiozza, Egor Koulechev, Jalen Hudson, Kevarrius Hayes,Keith Stone, Chris Silva, Evan Hinson, Justin Minaya, Maik Kotsar,Hassani Gravett,1200,1004,0,0,0,3,0,0,0,2,0,1,1,1,0,0,2,1,4,1,2,0,3,0,0,0,1,0,0,1,0,2,1,1
 Chris Chiozza, Egor Koulechev, Jalen Hudson, Kevarrius Hayes,Keith Stone,Chris Silva,Frank Booker,Hassani Gravett,Justin Minaya,Maik Kotsar,1004,1004,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,Gorjok Gak,Jalen Hudson,Keith Stone,Chris Silva,Frank Booker,Hassani Gravett,Justin Minaya,Maik Kotsar,1004,937,1,1,3,5,0,0,1,1,0,0,0,0,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Deaundrae Ballard,Egor Koulechov,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Chris Silva,Frank Booker,Hassani Gravett,Justin Minaya,Maik Kotsar,937,937,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaundrae Ballard,Egor Koulechov,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Chris Silva,Frank Booker,Hassani Gravett,Maik Kotsar,Wesley Myers,937,918,1,1,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Deaundrae Ballard,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Mike Okauru,Chris Silva,Frank Booker,Hassani Gravett,Maik Kotsar,Wesley Myers,918,899,1,1,5,5,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaundrae Ballard,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Mike Okauru,Chris Silva,Frank Booker,Kory Holden,Maik Kotsar,Wesley Myers,899,836,1,1,5,5,3,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Chris Silva,Frank Booker,Kory Holden,Maik Kotsar,Wesley Myers,836,811,1,1,5,5,3,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Chris Silva,Felipe Haase,Frank Booker,Kory Holden,Wesley Myers,811,776,1,1,5,7,5,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Gorjok Gak,KeVaughn Allen,Keith Stone,Chris Silva,Felipe Haase,Frank Booker,Kory Holden,Wesley Myers,776,776,1,1,7,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Gorjok Gak,KeVaughn Allen,Keith Stone,Chris Silva,Felipe Haase,Frank Booker,Hassani Gravett,Wesley Myers,776,689,1,1,7,10,5,5,0,0,0,0,0,1,3,3,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,2,0
Chris Chiozza,Deaundrae Ballard,Dontay Bassett,Jalen Hudson,Keith Stone,Chris Silva,Felipe Haase,Frank Booker,Hassani Gravett,Wesley Myers,689,689,1,1,10,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Dontay Bassett,Jalen Hudson,Keith Stone,Felipe Haase,Frank Booker,Hassani Gravett,Maik Kotsar,Wesley Myers,689,666,1,0,10,12,5,5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Chris Chiozza,Deaundrae Ballard,Dontay Bassett,Jalen Hudson,Keith Stone,Felipe Haase,Hassani Gravett,Justin Minaya,Maik Kotsar,Wesley Myers,666,594,1,0,12,14,5,7,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Chris Chiozza,Dontay Bassett,Jalen Hudson,KeVaughn Allen,Keith Stone,Felipe Haase,Hassani Gravett,Justin Minaya,Maik Kotsar,Wesley Myers,594,572,1,0,14,14,7,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chris Chiozza,Dontay Bassett,Jalen Hudson,KeVaughn Allen,Keith Stone,Felipe Haase,Justin Minaya,Kory Holden,Maik Kotsar,Wesley Myers,572,495,1,0,14,16,7,7,1,3,0,0,0,1,0,0,0,1,3,0,2,0,3,0,1,0,0,0,0,0,1,2,1,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,Kevarrius Hayes,Mike Okauru,Felipe Haase,Justin Minaya,Kory Holden,Maik Kotsar,Wesley Myers,495,495,1,0,16,16,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,Kevarrius Hayes,Mike Okauru,Felipe Haase,Frank Booker,Justin Minaya,Kory Holden,Maik Kotsar,495,474,1,0,16,16,7,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,Kevarrius Hayes,Mike Okauru,Chris Silva,Frank Booker,Justin Minaya,Kory Holden,Maik Kotsar,474,429,1,1,16,21,7,7,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Mike Okauru,Chris Silva,Frank Booker,Justin Minaya,Kory Holden,Maik Kotsar,429,429,1,1,21,21,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Mike Okauru,Chris Silva,Felipe Haase,Frank Booker,Hassani Gravett,Justin Minaya,429,393,1,1,21,22,7,9,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Deaundrae Ballard,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Mike Okauru,Chris Silva,Felipe Haase,Frank Booker,Hassani Gravett,Justin Minaya,393,349,1,1,22,24,9,11,0,1,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
Deaundrae Ballard,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Mike Okauru,Chris Silva,Felipe Haase,Frank Booker,Justin Minaya,Wesley Myers,349,349,1,1,24,24,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaundrae Ballard,Gorjok Gak,KeVaughn Allen,Keith Stone,Mike Okauru,Chris Silva,Felipe Haase,Frank Booker,Justin Minaya,Wesley Myers,349,342,1,1,24,24,11,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
Chris Chiozza,Gorjok Gak,KeVaughn Allen,Keith Stone,Mike Okauru,Chris Silva,Felipe Haase,Frank Booker,Justin Minaya,Wesley Myers,342,342,1,1,24,24,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Gorjok Gak,KeVaughn Allen,Keith Stone,Mike Okauru,Felipe Haase,Frank Booker,Justin Minaya,Maik Kotsar,Wesley Myers,342,301,1,0,24,27,14,16,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Chris Chiozza,Gorjok Gak,KeVaughn Allen,Keith Stone,Mike Okauru,Frank Booker,Justin Minaya,Khadim Gueye,Maik Kotsar,Wesley Myers,301,301,1,0,27,28,16,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Dontay Bassett,Egor Koulechov,Keith Stone,Mike Okauru,Frank Booker,Justin Minaya,Khadim Gueye,Maik Kotsar,Wesley Myers,301,241,1,0,28,30,16,16,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chris Chiozza,Dontay Bassett,Egor Koulechov,Keith Stone,Mike Okauru,Frank Booker,Jason Cudd,Justin Minaya,Maik Kotsar,Wesley Myers,241,235,1,0,30,30,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
Dontay Bassett,Egor Koulechov,KeVaughn Allen,Keith Stone,Mike Okauru,Frank Booker,Jason Cudd,Justin Minaya,Maik Kotsar,Wesley Myers,235,181,1,0,30,32,16,18,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Dontay Bassett,Egor Koulechov,KeVaughn Allen,Keith Stone,Mike Okauru,Frank Booker,Hassani Gravett,Jason Cudd,Justin Minaya,Maik Kotsar,181,94,1,0,32,36,18,18,2,2,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1
Dontay Bassett,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Keith Stone,Frank Booker,Hassani Gravett,Jason Cudd,Justin Minaya,Maik Kotsar,94,0,1,0,36,41,18,20,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,Keith Stone,Kevarrius Hayes,Frank Booker,Hassani Gravett,Jason Cudd,Justin Minaya,Maik Kotsar,1200,1200,1,0,41,41,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,Keith Stone,Kevarrius Hayes,Chris Silva,Evan Hinson,Hassani Gravett,Justin Minaya,Maik Kotsar,1200,1024,1,1,41,43,20,24,1,2,0,0,0,1,0,2,2,2,2,2,0,2,4,0,0,0,0,0,0,0,0,1,1,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,Keith Stone,Kevarrius Hayes,Chris Silva,Evan Hinson,Frank Booker,Hassani Gravett,Maik Kotsar,1024,987,1,1,43,43,24,24,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Chris Silva,Evan Hinson,Frank Booker,Hassani Gravett,Maik Kotsar,987,987,1,1,43,43,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Chris Silva,Evan Hinson,Frank Booker,Maik Kotsar,Wesley Myers,987,949,1,1,43,45,24,26,1,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Chris Silva,Evan Hinson,Frank Booker,Maik Kotsar,Wesley Myers,949,949,1,1,45,45,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Chris Silva,Evan Hinson,Frank Booker,Kory Holden,Maik Kotsar,949,925,1,1,45,45,26,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Chris Silva,Frank Booker,Justin Minaya,Kory Holden,Maik Kotsar,925,818,1,1,45,51,26,31,3,3,0,0,0,0,0,0,1,0,1,1,0,1,2,0,0,1,1,0,1,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Dontay Bassett,Egor Koulechov,Mike Okauru,Chris Silva,Frank Booker,Justin Minaya,Kory Holden,Maik Kotsar,818,818,1,1,51,51,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
