Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
 Chris Chiozza, Egor Koulechov, Keith Stone, Kevaughn Allen,Kevarrius Hayes, Admiral Schofield, Jordan Bone, Jordan Bowden, Kyle Alexander,Grant Williams,1200,1096,0,0,0,4,0,0,2,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0
 Chris Chiozza, Egor Koulechov, Keith Stone, Kevaughn Allen,Kevarrius Hayes,Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,1096,1084,1,0,4,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Chris Chiozza, Egor Koulechov, Keith Stone, Kevaughn Allen,Kevarrius Hayes,Chris Chiozza,Dontay Bassett,Egor Koulechov,Jalen Hudson,KeVaughn Allen,1084,985,1,0,6,6,0,0,0,0,0,0,0,2,0,0,2,1,3,1,1,0,0,0,1,0,2,0,0,0,0,1,0,0
Grant Williams,Jordan Bowden,Kyle Alexander,Lamonte Turner,Yves Pons,Chris Chiozza,Dontay Bassett,Egor Koulechov,Jalen Hudson,KeVaughn Allen,985,985,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant Williams,Jordan Bowden,Kyle Alexander,Lamonte Turner,Yves Pons,Chris Chiozza,Deaundrae Ballard,Dontay Bassett,Egor Koulechov,KeVaughn Allen,985,966,0,0,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Grant Williams,James Daniel III,Kyle Alexander,Lamonte Turner,Yves Pons,Chris Chiozza,Deaundrae Ballard,Dontay Bassett,Egor Koulechov,KeVaughn Allen,966,966,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant Williams,James Daniel III,Kyle Alexander,Lamonte Turner,Yves Pons,Chris Chiozza,Deaundrae Ballard,Dontay Bassett,Egor Koulechov,Mike Okauru,966,949,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Grant Williams,James Daniel III,Kyle Alexander,Lamonte Turner,Yves Pons,Chris Chiozza,Deaundrae Ballard,Dontay Bassett,Keith Stone,Mike Okauru,949,901,0,0,6,7,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Grant Williams,James Daniel III,John Fulkerson,Lamonte Turner,Yves Pons,Chris Chiozza,Deaundrae Ballard,Dontay Bassett,Keith Stone,Mike Okauru,901,875,0,0,7,8,2,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Admiral Schofield,James Daniel III,John Fulkerson,Lamonte Turner,Yves Pons,Chris Chiozza,Deaundrae Ballard,Dontay Bassett,Keith Stone,Mike Okauru,875,817,0,0,8,8,3,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
Admiral Schofield,James Daniel III,John Fulkerson,Lamonte Turner,Yves Pons,Deaundrae Ballard,Gorjok Gak,KeVaughn Allen,Keith Stone,Mike Okauru,817,817,0,0,8,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Admiral Schofield,James Daniel III,John Fulkerson,Jordan Bowden,Lamonte Turner,Deaundrae Ballard,Gorjok Gak,KeVaughn Allen,Keith Stone,Mike Okauru,817,792,0,0,8,8,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0
Admiral Schofield,Jordan Bone,Jordan Bowden,Kyle Alexander,Lamonte Turner,Deaundrae Ballard,Gorjok Gak,KeVaughn Allen,Keith Stone,Mike Okauru,792,764,0,0,8,8,5,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Grant Williams,Jordan Bone,Jordan Bowden,Kyle Alexander,Lamonte Turner,Deaundrae Ballard,Gorjok Gak,KeVaughn Allen,Keith Stone,Mike Okauru,764,669,0,0,8,12,5,5,2,2,0,0,0,1,0,0,0,0,3,1,2,0,1,0,2,0,0,0,0,1,0,1,1,0
Grant Williams,Jalen Johnson,Jordan Bone,Jordan Bowden,Kyle Alexander,Deaundrae Ballard,Gorjok Gak,KeVaughn Allen,Keith Stone,Mike Okauru,669,669,0,0,12,12,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant Williams,Jalen Johnson,Jordan Bone,Jordan Bowden,Kyle Alexander,Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,669,638,0,0,12,12,5,7,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
Admiral Schofield,Jalen Johnson,Jordan Bone,Jordan Bowden,Kyle Alexander,Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,638,550,0,0,12,14,7,10,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0
Admiral Schofield,Grant Williams,Jordan Bone,Jordan Bowden,Lamonte Turner,Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,550,388,0,0,14,16,10,14,1,4,0,0,0,1,0,0,0,1,1,1,0,2,3,0,0,0,1,0,0,0,1,3,0,0
Admiral Schofield,Chris Darrington,James Daniel III,Kyle Alexander,Lamonte Turner,Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,388,388,0,0,16,16,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Admiral Schofield,Chris Darrington,James Daniel III,Kyle Alexander,Lamonte Turner,Chris Chiozza,Egor Koulechov,Jalen Hudson,Kevarrius Hayes,Mike Okauru,388,356,0,0,16,16,14,15,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0
Admiral Schofield,Chris Darrington,James Daniel III,Kyle Alexander,Lamonte Turner,Chris Chiozza,Dontay Bassett,Egor Koulechov,Jalen Hudson,Mike Okauru,356,347,0,0,16,16,15,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Admiral Schofield,Chris Darrington,James Daniel III,Kyle Alexander,Lamonte Turner,Chris Chiozza,Deaundrae Ballard,Dontay Bassett,Egor Koulechov,Mike Okauru,347,347,0,0,16,16,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant Williams,James Daniel III,Jordan Bone,Kyle Alexander,Lamonte Turner,Chris Chiozza,Deaundrae Ballard,Dontay Bassett,Egor Koulechov,Mike Okauru,347,280,0,0,16,17,15,17,0,1,0,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0,0,0,1,1,0,3,0
Grant Williams,James Daniel III,Jordan Bone,Kyle Alexander,Lamonte Turner,Chris Chiozza,Deaundrae Ballard,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes,280,280,0,0,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Admiral Schofield,Grant Williams,James Daniel III,Jordan Bone,Lamonte Turner,Chris Chiozza,Deaundrae Ballard,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes,280,201,0,0,17,21,17,17,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Admiral Schofield,Grant Williams,Jordan Bone,Jordan Bowden,Lamonte Turner,Chris Chiozza,Deaundrae Ballard,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes,201,60,0,0,21,25,17,17,2,3,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,2,0,1,1,1,1,1,0
Admiral Schofield,Grant Williams,Jordan Bone,Jordan Bowden,Lamonte Turner,Chris Chiozza,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes,Mike Okauru,60,53,0,0,25,25,17,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Admiral Schofield,John Fulkerson,Jordan Bone,Jordan Bowden,Lamonte Turner,Chris Chiozza,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes,Mike Okauru,53,0,0,0,25,27,17,18,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
Admiral Schofield,Grant Williams,Jordan Bone,Jordan Bowden,Kyle Alexander,Chris Chiozza,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes,Mike Okauru,1200,1200,0,0,27,27,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
