Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
 Chris Chiozza, Egor Koulechev, KeVaughn Allen, Kevarrius Hayes,Keith Stone, Elijah Jordan, Iba Camara, Jacoby Armstrong, Jordan Reed,Tanner Leissner,1200,937,0,0,0,8,0,7,2,3,0,0,0,1,4,4,3,1,3,1,1,2,3,0,1,1,2,0,0,1,0,1,3,0
Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Mike Okauru, Elijah Jordan, Iba Camara, Jacoby Armstrong, Jordan Reed,Tanner Leissner,937,861,1,0,8,10,7,9,1,2,0,0,0,1,0,0,0,1,2,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0
Deaundrae Ballard,Egor Koulechov,Gorjok Gak,Jalen Hudson,KeVaughn Allen, Elijah Jordan, Iba Camara, Jacoby Armstrong, Jordan Reed,Tanner Leissner,861,790,1,0,10,10,9,11,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,3,1,0
Deaundrae Ballard,Egor Koulechov,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Darryl Stewart,Jacoby Armstrong,John Ogwuche,Jordan Reed,Tanner Leissner,790,790,1,0,10,10,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Egor Koulechov,Jalen Hudson,Kevarrius Hayes,Darryl Stewart,Jacoby Armstrong,John Ogwuche,Jordan Reed,Tanner Leissner,790,698,1,0,10,15,11,15,1,2,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,2,1,1,0,1,1,0,0
Chris Chiozza,Egor Koulechov,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Darryl Stewart,Jacoby Armstrong,John Ogwuche,Jordan Reed,Tanner Leissner,698,698,1,0,15,15,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Chris Chiozza,Egor Koulechov,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Darryl Stewart,David Watkins,John Ogwuche,Jordan Reed,Tanner Leissner,698,653,1,0,15,15,16,16,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Chris Chiozza,Egor Koulechov,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Darryl Stewart,David Watkins,Elijah Jordan,John Ogwuche,Tanner Leissner,653,637,1,0,15,16,16,16,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,KeVaughn Allen,Keith Stone,Kevarrius Hayes,Darryl Stewart,David Watkins,Elijah Jordan,Jacoby Armstrong,John Ogwuche,637,511,1,0,16,18,16,16,1,3,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,1,2,0,0
Chris Chiozza,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Darryl Stewart,David Watkins,Elijah Jordan,Jacoby Armstrong,John Ogwuche,511,511,1,0,18,18,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Elijah Jordan,Jacoby Armstrong,John Ogwuche,Jordan Reed,Tanner Leissner,511,471,1,0,18,18,16,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Chris Chiozza,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Elijah Jordan,Iba Camara,John Ogwuche,Jordan Reed,Tanner Leissner,471,454,1,1,18,20,16,16,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase Johnson,Chris Chiozza,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Elijah Jordan,Iba Camara,John Ogwuche,Jordan Reed,Tanner Leissner,454,419,1,1,20,20,16,18,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
