Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
 Chris Chiozza, Egor Koulechev, Jalen Hudson, Kevarrius Hayes,Keith Stone, Juwan Parker, Nicolas Claxton, Rayshaun Hammonds, William Jackson II,Yante Maten,1200,1005,0,0,0,5,0,5,1,2,0,0,1,2,0,0,1,0,3,0,0,1,2,0,0,1,4,0,0,1,1,2,0,0
 Chris Chiozza, Egor Koulechev, Jalen Hudson, Kevarrius Hayes,Keith Stone,E'Torrion Wilridge,Juwan Parker,Nicolas Claxton,William Jackson II,Yante Maten,1005,825,0,1,5,13,5,10,1,2,0,0,2,3,0,0,0,1,1,0,1,1,2,0,1,1,2,0,0,1,2,1,2,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,E'Torrion Wilridge,Juwan Parker,Nicolas Claxton,William Jackson II,Yante Maten,825,825,1,1,13,13,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Juwan Parker,Nicolas Claxton,Rayshaun Hammonds,William Jackson II,Yante Maten,825,776,1,1,13,15,10,12,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Chris Chiozza,Dontay Bassett,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Juwan Parker,Nicolas Claxton,Rayshaun Hammonds,William Jackson II,Yante Maten,776,605,1,1,15,20,12,14,1,4,0,0,1,1,0,0,0,1,2,0,0,1,4,0,0,0,2,0,0,1,3,2,0,0
Chris Chiozza,Deaundrae Ballard,Dontay Bassett,Jalen Hudson,Keith Stone,Juwan Parker,Nicolas Claxton,Rayshaun Hammonds,William Jackson II,Yante Maten,605,605,1,1,20,20,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Dontay Bassett,Jalen Hudson,Keith Stone,Derek Ogbeide,Jordan Harris,Mike Edwards,Rayshaun Hammonds,William Jackson II,605,539,1,0,20,20,14,16,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,0,0,0,1,0,0,0,1,1,0,0
Chris Chiozza,Deaundrae Ballard,Gorjok Gak,Jalen Hudson,Keith Stone,Derek Ogbeide,Jordan Harris,Mike Edwards,Rayshaun Hammonds,William Jackson II,539,539,1,0,20,20,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Deaundrae Ballard,Gorjok Gak,Jalen Hudson,Keith Stone,Derek Ogbeide,Jordan Harris,Rayshaun Hammonds,Tyree Crump,Yante Maten,539,428,1,1,20,22,16,18,1,3,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,1,0,1,1,3,1,0,0
Deaundrae Ballard,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Keith Stone,Derek Ogbeide,Jordan Harris,Rayshaun Hammonds,Tyree Crump,Yante Maten,428,406,1,1,22,23,18,18,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Deaundrae Ballard,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Keith Stone,Derek Ogbeide,Jordan Harris,Juwan Parker,Tyree Crump,Yante Maten,406,363,1,1,23,24,18,22,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,1,0,0
Deaundrae Ballard,Egor Koulechov,Gorjok Gak,KeVaughn Allen,Keith Stone,Derek Ogbeide,Jordan Harris,Juwan Parker,Mike Edwards,Tyree Crump,363,299,1,0,24,26,22,28,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0
Chris Chiozza,Egor Koulechov,Gorjok Gak,Jalen Hudson,Keith Stone,Derek Ogbeide,Jordan Harris,Juwan Parker,Mike Edwards,Tyree Crump,299,240,1,0,26,26,28,28,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,Keith Stone,Kevarrius Hayes,Derek Ogbeide,Jordan Harris,Juwan Parker,Mike Edwards,Tyree Crump,240,240,1,0,26,26,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,Keith Stone,Kevarrius Hayes,Jordan Harris,Juwan Parker,Mike Edwards,William Jackson II,Yante Maten,240,145,1,1,26,26,28,33,0,1,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,Keith Stone,Kevarrius Hayes,Juwan Parker,Mike Edwards,Rayshaun Hammonds,William Jackson II,Yante Maten,145,129,1,1,26,26,33,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
