Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
Keith Stone,Kevaughn Allen,Egor Koulechov,Kevarrius Hayes,Chris Chiozza,Nick Richards,Shai Gilgeous-Alexander,Hamidou Diallo,Kevin Knox,PJ Washington,1200,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Stone,Kevaughn Allen,Egor Koulechov,Kevarrius Hayes,Chris Chiozza,Nick Richards,Shai Gilgeous-Alexander,Hamidou Diallo,Kevin Knox,PJ Washington,1200,885,0,0,0,10,0,8,2,3,0,2,2,5,0,0,0,3,4,0,0,4,8,0,0,0,0,0,0,0,0,3,1,2
Keith Stone,Jalen Hudson,Kevarrius Hayes,KeVaughn Allen,Chris Chiozza,Nick Richards,Shai Gilgeous-Alexander,Hamidou Diallo,Kevin Knox,PJ Washington,885,885,1,1,10,10,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Stone,Jalen Hudson,Kevarrius Hayes,KeVaughn Allen,Chris Chiozza,Wenyen Gabriel,Shai Gilgeous-Alexander,Hamidou Diallo,Sacha Killeya-Jones,Kevin Knox,885,846,1,1,10,10,8,10,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1
Keith Stone,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Chris Chiozza,Wenyen Gabriel,Shai Gilgeous-Alexander,Hamidou Diallo,Sacha Killeya-Jones,Kevin Knox,846,832,0,1,10,10,10,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Keith Stone,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Chris Chiozza,Wenyen Gabriel,Shai Gilgeous-Alexander,Jarred Vanderbilt,Sacha Killeya-Jones,Quade Green,832,787,0,2,10,13,11,13,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Keith Stone,Egor Koulechov,Jalen Hudson,Mike Okauru,Chris Chiozza,Wenyen Gabriel,Shai Gilgeous-Alexander,Jarred Vanderbilt,Sacha Killeya-Jones,Quade Green,787,738,0,2,13,14,13,17,0,1,0,0,0,0,1,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,1,1,0
Egor Koulechov,Jalen Hudson,Dontay Bassett,Mike Okauru,Chris Chiozza,Wenyen Gabriel,Shai Gilgeous-Alexander,Jarred Vanderbilt,Sacha Killeya-Jones,Quade Green,738,738,0,2,14,14,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Jalen Hudson,Dontay Bassett,Mike Okauru,Chris Chiozza,Wenyen Gabriel,Jarred Vanderbilt,Sacha Killeya-Jones,Hamidou Diallo,Quade Green,738,714,0,2,14,15,17,17,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Egor Koulechov,Jalen Hudson,Dontay Bassett,KeVaughn Allen,Mike Okauru,Wenyen Gabriel,Jarred Vanderbilt,Sacha Killeya-Jones,Hamidou Diallo,Quade Green,714,714,0,2,15,15,17,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
