Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
Chris Chiozza,Egor Koulechev,Keith Stone,Jalen Hudson,Kevarrius Hayes,Maik Kotsar,Evan Hinson,Hassani Gravett,Chris Silva,Justin Minaya,1200,1004,0,0,0,3,0,0,0,2,0,1,1,1,0,0,2,1,4,1,2,0,3,0,0,0,1,0,0,1,0,2,1,1
Chris Chiozza,Egor Koulechev,Keith Stone,Jalen Hudson,Kevarrius Hayes,Maik Kotsar,Hassani Gravett,Chris Silva,Frank Booker,Justin Minaya,1004,1004,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Chris Chiozza,Gorjok Gak,Keith Stone,Jalen Hudson,Maik Kotsar,Hassani Gravett,Chris Silva,Frank Booker,Justin Minaya,1004,937,1,2,3,5,0,0,1,1,0,0,0,0,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Gorjok Gak,KeVaughn Allen,Jalen Hudson,Deaundrae Ballard,Maik Kotsar,Hassani Gravett,Chris Silva,Frank Booker,Justin Minaya,937,937,1,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Gorjok Gak,KeVaughn Allen,Jalen Hudson,Deaundrae Ballard,Maik Kotsar,Hassani Gravett,Wesley Myers,Chris Silva,Frank Booker,937,918,1,2,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Egor Koulechov,Mike Okauru,Gorjok Gak,KeVaughn Allen,Deaundrae Ballard,Maik Kotsar,Hassani Gravett,Wesley Myers,Chris Silva,Frank Booker,918,899,1,2,5,5,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Mike Okauru,Gorjok Gak,KeVaughn Allen,Deaundrae Ballard,Maik Kotsar,Wesley Myers,Chris Silva,Frank Booker,Kory Holden,899,836,1,2,5,5,3,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Egor Koulechov,Chris Chiozza,Gorjok Gak,KeVaughn Allen,Deaundrae Ballard,Maik Kotsar,Wesley Myers,Chris Silva,Frank Booker,Kory Holden,836,811,1,2,5,5,3,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Chris Chiozza,Gorjok Gak,KeVaughn Allen,Deaundrae Ballard,Wesley Myers,Chris Silva,Felipe Haase,Frank Booker,Kory Holden,811,776,1,2,5,7,5,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Chris Chiozza,Gorjok Gak,KeVaughn Allen,Keith Stone,Deaundrae Ballard,Wesley Myers,Chris Silva,Felipe Haase,Frank Booker,Kory Holden,776,776,1,2,7,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Gorjok Gak,KeVaughn Allen,Keith Stone,Deaundrae Ballard,Hassani Gravett,Wesley Myers,Chris Silva,Felipe Haase,Frank Booker,776,689,1,2,7,10,5,5,0,0,0,0,0,1,3,3,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,2,0
Chris Chiozza,Dontay Bassett,Keith Stone,Jalen Hudson,Deaundrae Ballard,Hassani Gravett,Wesley Myers,Chris Silva,Felipe Haase,Frank Booker,689,689,1,2,10,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Dontay Bassett,Keith Stone,Jalen Hudson,Deaundrae Ballard,Maik Kotsar,Hassani Gravett,Wesley Myers,Felipe Haase,Frank Booker,689,666,1,2,10,12,5,5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Chris Chiozza,Dontay Bassett,Keith Stone,Jalen Hudson,Deaundrae Ballard,Maik Kotsar,Hassani Gravett,Wesley Myers,Felipe Haase,Justin Minaya,666,594,1,2,12,14,5,7,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Chris Chiozza,KeVaughn Allen,Dontay Bassett,Keith Stone,Jalen Hudson,Maik Kotsar,Hassani Gravett,Wesley Myers,Felipe Haase,Justin Minaya,594,572,1,2,14,14,7,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chris Chiozza,KeVaughn Allen,Dontay Bassett,Keith Stone,Jalen Hudson,Maik Kotsar,Wesley Myers,Felipe Haase,Justin Minaya,Kory Holden,572,495,1,2,14,16,7,7,1,3,0,0,0,1,0,0,0,1,3,0,2,0,3,0,1,0,0,0,0,0,1,2,1,0
Egor Koulechov,Chris Chiozza,Mike Okauru,Jalen Hudson,Kevarrius Hayes,Maik Kotsar,Wesley Myers,Felipe Haase,Justin Minaya,Kory Holden,495,495,1,2,16,16,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
