Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
Keith Stone,Egor Koulechov,Kevarrius Hayes,Chris Chiozza,Kevaughn Allen,Admiral Schofield,Jordan Bone,Jordan Bowden,Grant Williams,Kyle Alexander,1200,1096,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,1,0,0,2,2,0,0,0,1,0,0,0,0,1,1,0
Egor Koulechov,Kevarrius Hayes,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Admiral Schofield,Jordan Bone,Jordan Bowden,Grant Williams,Kyle Alexander,1096,1084,1,1,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Dontay Bassett,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Admiral Schofield,Jordan Bone,Jordan Bowden,Grant Williams,Kyle Alexander,1084,985,1,1,0,0,6,6,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,3,1,1
Egor Koulechov,Dontay Bassett,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Jordan Bowden,Yves Pons,Grant Williams,Kyle Alexander,Lamonte Turner,985,985,1,1,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Dontay Bassett,KeVaughn Allen,Chris Chiozza,Deaundrae Ballard,Jordan Bowden,Yves Pons,Grant Williams,Kyle Alexander,Lamonte Turner,985,966,1,1,0,0,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Egor Koulechov,Dontay Bassett,KeVaughn Allen,Chris Chiozza,Deaundrae Ballard,Yves Pons,Grant Williams,Kyle Alexander,James Daniel III,Lamonte Turner,966,966,1,1,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Dontay Bassett,Chris Chiozza,Mike Okauru,Deaundrae Ballard,Yves Pons,Grant Williams,Kyle Alexander,James Daniel III,Lamonte Turner,966,949,1,1,0,0,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Keith Stone,Dontay Bassett,Chris Chiozza,Mike Okauru,Deaundrae Ballard,Yves Pons,Grant Williams,Kyle Alexander,James Daniel III,Lamonte Turner,949,901,1,1,0,2,6,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Keith Stone,Dontay Bassett,Chris Chiozza,Mike Okauru,Deaundrae Ballard,Yves Pons,Grant Williams,James Daniel III,Lamonte Turner,John Fulkerson,901,875,1,0,2,3,7,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Keith Stone,Dontay Bassett,Chris Chiozza,Mike Okauru,Deaundrae Ballard,Admiral Schofield,Yves Pons,James Daniel III,Lamonte Turner,John Fulkerson,875,817,1,0,3,3,8,8,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Keith Stone,KeVaughn Allen,Mike Okauru,Deaundrae Ballard,Gorjok Gak,Admiral Schofield,Yves Pons,James Daniel III,Lamonte Turner,John Fulkerson,817,817,1,0,3,3,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Stone,KeVaughn Allen,Mike Okauru,Deaundrae Ballard,Gorjok Gak,Admiral Schofield,Jordan Bowden,James Daniel III,Lamonte Turner,John Fulkerson,817,792,1,0,3,5,8,8,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Keith Stone,KeVaughn Allen,Mike Okauru,Deaundrae Ballard,Gorjok Gak,Admiral Schofield,Jordan Bone,Jordan Bowden,Kyle Alexander,Lamonte Turner,792,764,1,1,5,5,8,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Keith Stone,KeVaughn Allen,Mike Okauru,Deaundrae Ballard,Gorjok Gak,Jordan Bone,Jordan Bowden,Grant Williams,Kyle Alexander,Lamonte Turner,764,669,1,1,5,5,8,12,0,1,0,2,0,0,0,0,1,0,1,1,0,2,2,0,0,0,1,0,0,0,0,3,1,2
Keith Stone,KeVaughn Allen,Mike Okauru,Deaundrae Ballard,Gorjok Gak,Jordan Bone,Jordan Bowden,Grant Williams,Kyle Alexander,Jalen Johnson,669,669,1,1,5,5,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Kevarrius Hayes,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Jordan Bone,Jordan Bowden,Grant Williams,Kyle Alexander,Jalen Johnson,669,638,1,1,5,7,12,12,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Egor Koulechov,Kevarrius Hayes,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Admiral Schofield,Jordan Bone,Jordan Bowden,Kyle Alexander,Jalen Johnson,638,550,1,1,7,10,12,14,0,0,0,0,1,2,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1,1,1,0,0
Egor Koulechov,Kevarrius Hayes,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Admiral Schofield,Jordan Bone,Jordan Bowden,Grant Williams,Lamonte Turner,550,388,1,0,10,14,14,16,2,3,0,0,0,1,0,0,0,1,3,0,0,1,4,0,0,0,1,0,0,0,1,1,1,0
Egor Koulechov,Kevarrius Hayes,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Admiral Schofield,James Daniel III,Kyle Alexander,Chris Darrington,Lamonte Turner,388,388,1,1,14,14,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Kevarrius Hayes,Chris Chiozza,Jalen Hudson,Mike Okauru,Admiral Schofield,James Daniel III,Kyle Alexander,Chris Darrington,Lamonte Turner,388,356,1,1,14,15,16,16,0,0,0,0,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
Egor Koulechov,Dontay Bassett,Chris Chiozza,Jalen Hudson,Mike Okauru,Admiral Schofield,James Daniel III,Kyle Alexander,Chris Darrington,Lamonte Turner,356,347,1,1,15,15,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Egor Koulechov,Dontay Bassett,Chris Chiozza,Mike Okauru,Deaundrae Ballard,Admiral Schofield,James Daniel III,Kyle Alexander,Chris Darrington,Lamonte Turner,347,347,1,1,15,15,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
